name,bus0,bus1,carrier,geometry,length,p_nom,tags,under_construction,underground,p_min_pu,underwater_fraction,capital_cost,efficiency,p_nom_extendable,bus2,bus3,bus4,efficiency2,efficiency3,efficiency4,lifetime,marginal_cost,build_year,p_nom_opt,charger_ratio,type,p_nom_min,p_nom_max,p_set,p_max_pu,terrain_factor
AL0 0 coal-2025,EU coal,AL0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1642840219860633,2025.0,0.18350246145238858,,,0.0,inf,0.0,1.0,1.0
AT0 0 coal-2025,EU coal,AT0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1657529984365407,2025.0,0.0056215823984172,,,0.0,inf,0.0,1.0,1.0
BA0 0 coal-2025,EU coal,BA0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1647578554596127,2025.0,4051.581385867291,,,0.0,inf,0.0,1.0,1.0
BE0 0 coal-2025,EU coal,BE0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.165664489327855,2025.0,5912.69656780951,,,0.0,inf,0.0,1.0,1.0
BG0 0 coal-2025,EU coal,BG0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1657829564772189,2025.0,0.012437213657661409,,,0.0,inf,0.0,1.0,1.0
CH0 0 coal-2025,EU coal,CH0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1659596151108684,2025.0,0.0037874458206699716,,,0.0,inf,0.0,1.0,1.0
CZ0 0 coal-2025,EU coal,CZ0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1654649538927304,2025.0,0.004949951530339083,,,0.0,inf,0.0,1.0,1.0
DE0 0 coal-2025,EU coal,DE0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1650032348332977,2025.0,0.004732390873776173,,,0.0,inf,0.0,1.0,1.0
DK0 0 coal-2025,EU coal,DK0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1643386594738023,2025.0,0.0014278361460387911,,,0.0,inf,0.0,1.0,1.0
DK1 0 coal-2025,EU coal,DK1 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1651048880483594,2025.0,0.0011465941943755139,,,0.0,inf,0.0,1.0,1.0
