name,bus0,bus1,carrier,geometry,length,p_nom,tags,under_construction,underground,p_min_pu,underwater_fraction,capital_cost,efficiency,p_nom_extendable,bus2,bus3,bus4,efficiency2,efficiency3,efficiency4,lifetime,marginal_cost,build_year,p_nom_opt,charger_ratio,type,p_nom_min,p_nom_max,p_set,p_max_pu,terrain_factor
AL0 0 coal-2030,EU coal,AL0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1642840219860633,2030.0,0.0004992941340381677,,,0.0,inf,0.0,1.0,1.0
AT0 0 coal-2030,EU coal,AT0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1657529984365407,2030.0,0.0005042693068405658,,,0.0,inf,0.0,1.0,1.0
BA0 0 coal-2030,EU coal,BA0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1647578554596127,2030.0,0.000492867625705411,,,0.0,inf,0.0,1.0,1.0
BE0 0 coal-2030,EU coal,BE0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.165664489327855,2030.0,0.0005237705141846858,,,0.0,inf,0.0,1.0,1.0
BG0 0 coal-2030,EU coal,BG0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1657829564772189,2030.0,0.0004989596963756701,,,0.0,inf,0.0,1.0,1.0
CH0 0 coal-2030,EU coal,CH0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1659596151108684,2030.0,0.0004949090651313754,,,0.0,inf,0.0,1.0,1.0
CZ0 0 coal-2030,EU coal,CZ0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1654649538927304,2030.0,0.0004977165366840022,,,0.0,inf,0.0,1.0,1.0
DE0 0 coal-2030,EU coal,DE0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1650032348332977,2030.0,0.0005101012696415227,,,0.0,inf,0.0,1.0,1.0
DK0 0 coal-2030,EU coal,DK0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1643386594738023,2030.0,0.00045352609427438604,,,0.0,inf,0.0,1.0,1.0
DK1 0 coal-2030,EU coal,DK1 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1651048880483594,2030.0,0.00042560846670302324,,,0.0,inf,0.0,1.0,1.0
EE2 0 coal-2030,EU coal,EE2 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.164442441947577,2030.0,0.0004876971022895373,,,0.0,inf,0.0,1.0,1.0
