Date,Price
2008-04-07,25.3525
2008-04-14,26.18
2008-04-21,26.358
2008-04-28,25.532
2008-05-05,26.47
2008-05-12,26.222
2008-05-19,27.024
2008-05-26,27.506
2008-06-02,28.068
2008-06-09,28.546
2008-06-16,28.742
2008-06-23,29.602
2008-06-30,30.52
2008-07-07,28.922
2008-07-14,27.98
2008-07-21,26.952
2008-07-28,24.924
2008-08-04,24.208
2008-08-11,25.342
2008-08-18,26.282
2008-08-25,27.016
2008-09-01,26.662
2008-09-08,25.324
2008-09-15,25.448
2008-09-22,26.47
2008-09-29,24.62
2008-10-06,23.642
2008-10-13,23.804
2008-10-20,21.752
2008-10-27,18.968
2008-11-03,19.564
2008-11-10,19.074
2008-11-17,17.194
2008-11-24,17.128
2008-12-01,16.252
2008-12-08,15.858
2008-12-15,16.368
2008-12-22,16.36
2008-12-29,16.3825
2009-01-05,15.656
2009-01-12,13.756
2009-01-19,11.978
2009-01-26,12.234
2009-02-02,10.836
2009-02-09,9.198
2009-02-16,9.834
2009-02-23,10.27
2009-03-02,11.422
2009-03-09,12.526
2009-03-16,12.85
2009-03-23,11.844
2009-03-30,12.632
2009-04-06,13.495
2009-04-13,14.556
2009-04-20,14.104
2009-04-27,14.57
2009-05-04,15.484
2009-05-11,15.574
2009-05-18,15.6
2009-05-25,15.774
2009-06-01,15.19
2009-06-08,13.892
2009-06-15,13.488
2009-06-22,13.78
2009-06-29,13.744
2009-07-06,13.976
2009-07-13,14.886
2009-07-20,14.798
2009-07-27,14.216
2009-08-03,14.836
2009-08-10,14.692
2009-08-17,15.344
2009-08-24,15.598
2009-08-31,15.454
2009-09-07,15.49
2009-09-14,14.228
2009-09-21,13.67
2009-09-28,13.53
2009-10-05,13.832
2009-10-12,14.62
2009-10-19,14.96
2009-10-26,14.79
2009-11-02,14.68
2009-11-09,13.868
2009-11-16,13.63
2009-11-23,13.142
2009-11-30,13.828
2009-12-07,14.538
2009-12-14,14.154
2009-12-21,12.725
2009-12-28,12.6575
2010-01-04,12.786
2010-01-11,13.216
2010-01-18,13.454
2010-01-25,13.292
2010-02-01,12.94
2010-02-08,13.34
2010-02-15,12.966
2010-02-22,12.894
2010-03-01,13.318
2010-03-08,13.07
2010-03-15,13.068
2010-03-22,12.792
2010-03-29,12.7725
2010-04-05,13.354
2010-04-12,13.93
2010-04-19,14.618
2010-04-26,15.322
2010-05-03,15.922
2010-05-10,15.524
2010-05-17,14.842
2010-05-24,15.294
2010-05-31,15.134
2010-06-07,15.46
2010-06-14,15.6
2010-06-21,15.304
2010-06-28,15.2375
2010-07-05,14.79
2010-07-12,13.954
2010-07-19,14.126
2010-07-26,13.768
2010-08-02,14.304
2010-08-09,14.414
2010-08-16,14.588
2010-08-23,15.076
2010-08-30,15.474
2010-09-06,15.522
2010-09-13,15.262
2010-09-20,14.978
2010-09-27,15.435
2010-10-04,15.49
2010-10-11,15.642
2010-10-18,15.098
2010-10-25,14.96
2010-11-01,14.596
2010-11-08,14.554
2010-11-15,14.904
2010-11-22,15.082
2010-11-29,14.794
2010-12-06,14.69
2010-12-13,14.314
2010-12-20,13.9325
2010-12-27,13.952
2011-01-03,14.284
2011-01-10,14.092
2011-01-17,14.26
2011-01-24,14.558
2011-01-31,14.624
2011-02-07,14.502
2011-02-14,14.584
2011-02-21,15.056
2011-02-28,15.29
2011-03-07,15.332
2011-03-14,16.488
2011-03-21,16.316
2011-03-28,16.79
2011-05-16,16.21
2011-05-23,16.1275
2011-05-30,16.558
2011-06-06,16.34
2011-06-13,15.962
2011-06-20,13.866
2011-06-27,13.07
2011-07-04,13.058
2011-07-11,12.124
2011-07-18,12.6
2011-07-25,12.48
2011-08-01,11.324
2011-08-08,11.588
2011-08-15,12.386
2011-08-22,12.85
2011-08-29,12.944
2011-09-05,12.134
2011-09-12,12.044
2011-09-19,11.556
2011-09-26,10.745
2011-10-03,10.286
2011-10-10,10.56
2011-10-17,10.242
2011-10-24,10.384
2011-10-31,9.728
2011-11-07,9.976
2011-11-14,9.792
2011-11-21,8.408
2011-11-28,8.014
2011-12-05,7.464
2011-12-12,6.908
2011-12-19,7.86
2011-12-26,7.355
2012-01-02,6.345
2012-01-09,6.77
2012-01-16,6.752
2012-01-23,7.412
2012-01-30,8.11
2012-02-06,8.14
2012-02-13,8.274
2012-02-20,8.858
2012-02-27,8.78
2012-03-05,8.304
2012-03-12,7.732
2012-03-19,7.096
2012-03-26,6.938
2012-04-02,6.33
2012-04-09,6.912
2012-04-16,7.138
2012-04-23,7.126
2012-04-30,7.146
2012-05-07,6.682
2012-05-14,6.458
2012-05-21,6.748
2012-05-28,6.454
2012-06-04,6.434
2012-06-11,6.81
2012-06-18,7.572
2012-06-25,8.024
2012-07-02,8.206
2012-07-09,7.806
2012-07-16,7.262
2012-07-23,6.998
2012-07-30,6.908
2012-08-06,7.194
2012-08-13,7.611428571
2012-08-20,7.871428571
2012-08-27,7.818571429
2012-09-03,8.226
2012-09-10,7.706
2012-09-17,7.462
2012-09-24,7.63
2012-10-01,7.772
2012-10-08,7.834
2012-10-15,8.004
2012-10-22,7.808
2012-10-29,8.126
2012-11-05,8.29
2012-11-12,7.888
2012-11-19,6.804
2012-11-26,6.66
2012-12-03,6.198
2012-12-10,6.78
2012-12-17,6.904
2012-12-24,6.825
2012-12-31,6.32
2013-01-07,6.096
2013-01-14,5.52
2013-01-21,4.584
2013-01-28,3.846
2013-02-04,4.222
2013-02-11,4.83
2013-02-18,4.934
2013-02-25,4.482
2013-03-04,4.256
2013-03-11,3.666
2013-03-18,3.852
2013-03-25,4.6475
2013-04-01,4.906
2013-04-08,4.608
2013-04-15,3.308
2013-04-22,2.968
2013-04-29,3.194
2013-05-06,3.612
2013-05-13,3.484
2013-05-20,3.444
2013-05-27,3.686
2013-06-03,3.932
2013-06-10,4.348
2013-06-17,4.464
2013-06-24,4.278
2013-07-01,4.402
2013-07-08,4.108
2013-07-15,4.116
2013-07-22,4.27
2013-07-29,4.324
2013-08-05,4.46
2013-08-12,4.33
2013-08-19,4.39
2013-08-26,4.532
2013-09-02,4.74
2013-09-09,5.334
2013-09-16,5.468
2013-09-23,5.4
2013-09-30,5.152
2013-10-07,4.806
2013-10-14,5.086
2013-10-21,4.72
2013-10-28,4.864
2013-11-04,4.63
2013-11-11,4.571428571
2013-11-18,4.422857143
2013-11-25,4.41
2013-12-02,4.638571429
2013-12-09,4.9
2013-12-16,4.838
2013-12-23,4.8925
2013-12-30,4.8125
2014-01-06,4.59
2014-01-13,4.937142857
2014-01-20,5.13
2014-01-27,5.522857143
2014-02-03,6.204285714
2014-02-10,6.444285714
2014-02-17,6.974285714
2014-02-24,6.767142857
2014-03-03,6.798333333
2014-03-10,6.586
2014-03-17,6.022857143
2014-03-24,5.404
2014-03-31,4.806
2014-04-07,5.034
2014-04-14,5.4375
2014-04-21,5.528
2014-04-28,5.32
2014-05-05,5.184
2014-05-12,5.048
2014-05-19,4.986
2014-05-26,5.142
2014-06-02,5.388
2014-06-09,5.518
2014-06-16,5.634
2014-06-23,5.74
2014-06-30,5.922
2014-07-07,5.708
2014-07-14,6.002
2014-07-21,6.116
2014-07-28,6.166
2014-08-04,6.11
2014-08-11,6.216
2014-08-18,6.374
2014-08-25,6.354
2014-09-01,6.292
2014-09-08,6.122
2014-09-15,5.916
2014-09-22,5.828
2014-09-29,5.754
2014-10-06,5.924
2014-10-13,6.128333333
2014-10-20,6.26
2014-10-27,6.328
2014-11-03,6.622
2014-11-10,6.756
2014-11-17,6.984
2014-11-24,7.0925
2014-12-01,6.862
2014-12-08,6.672
2014-12-15,7.004
2014-12-22,7.295
2014-12-29,7.2
2015-01-05,6.824
2015-01-12,7.112
2015-01-19,7.076
2015-01-26,6.968
2015-02-02,7.024
2015-02-09,7.272
2015-02-16,7.464
2015-02-23,7.346
2015-03-02,6.85
2015-03-09,6.626
2015-03-16,6.734
2015-03-23,6.95
2015-03-30,7.0225
2015-04-06,7.066
2015-04-13,6.832
2015-04-20,7.166
2015-04-27,7.368
2015-05-04,7.524
2015-05-11,7.598
2015-05-18,7.384
2015-05-25,7.25
2015-06-01,7.39
2015-06-08,7.538
2015-06-15,7.448
2015-06-22,7.504
2015-06-29,7.43
2015-07-06,7.474
2015-07-13,7.726
2015-07-20,7.988
2015-07-27,7.96
2015-08-03,7.85
2015-08-10,8.132
2015-08-17,8.272
2015-08-24,8.118
2015-08-31,8.072
2015-09-07,8.206
2015-09-14,8.174
2015-09-21,8.006
2015-09-28,8.074
2015-10-05,8.204
2015-10-12,8.378
2015-10-19,8.476
2015-10-26,8.632
2015-11-02,8.466
2015-11-09,8.392
2015-11-16,8.572
2015-11-23,8.598
2015-11-30,8.546
2015-12-07,8.33
2015-12-14,8.13
2015-12-21,8.24
2015-12-28,8.28
2016-01-04,7.768
2016-01-11,7.056
2016-01-18,6.476
2016-01-25,5.998
2016-02-01,5.654
2016-02-08,4.966
2016-02-15,4.992
2016-02-22,5.046
2016-02-29,4.948
2016-03-07,5.01
