"MTU (CET)","Day-ahead Price [EUR/MWh]","BZN|EE"
"01.01.2019 00:00 - 01.01.2019 01:00","28.32"
"01.01.2019 01:00 - 01.01.2019 02:00","10.07"
"01.01.2019 02:00 - 01.01.2019 03:00","10.03"
"01.01.2019 03:00 - 01.01.2019 04:00","4.56"
"01.01.2019 04:00 - 01.01.2019 05:00","4.83"
"01.01.2019 05:00 - 01.01.2019 06:00","8.09"
"01.01.2019 06:00 - 01.01.2019 07:00","25.54"
"01.01.2019 07:00 - 01.01.2019 08:00","39.16"
"01.01.2019 08:00 - 01.01.2019 09:00","37.66"
"01.01.2019 09:00 - 01.01.2019 10:00","21.52"
"01.01.2019 10:00 - 01.01.2019 11:00","28.25"
"01.01.2019 11:00 - 01.01.2019 12:00","19.29"
"01.01.2019 12:00 - 01.01.2019 13:00","19.32"
"01.01.2019 13:00 - 01.01.2019 14:00","16.21"
"01.01.2019 14:00 - 01.01.2019 15:00","21.47"
"01.01.2019 15:00 - 01.01.2019 16:00","32.69"
"01.01.2019 16:00 - 01.01.2019 17:00","29.34"
"01.01.2019 17:00 - 01.01.2019 18:00","30.19"
"01.01.2019 18:00 - 01.01.2019 19:00","30.09"
"01.01.2019 19:00 - 01.01.2019 20:00","29.58"
"01.01.2019 20:00 - 01.01.2019 21:00","36.91"
"01.01.2019 21:00 - 01.01.2019 22:00","33.14"
"01.01.2019 22:00 - 01.01.2019 23:00","21.61"
"01.01.2019 23:00 - 02.01.2019 00:00","4.04"
"02.01.2019 00:00 - 02.01.2019 01:00","9.70"
"02.01.2019 01:00 - 02.01.2019 02:00","6.32"
"02.01.2019 02:00 - 02.01.2019 03:00","4.35"
"02.01.2019 03:00 - 02.01.2019 04:00","8.81"
"02.01.2019 04:00 - 02.01.2019 05:00","22.67"
"02.01.2019 05:00 - 02.01.2019 06:00","43.28"
"02.01.2019 06:00 - 02.01.2019 07:00","44.64"
"02.01.2019 07:00 - 02.01.2019 08:00","49.64"
"02.01.2019 08:00 - 02.01.2019 09:00","49.96"
"02.01.2019 09:00 - 02.01.2019 10:00","50.74"
"02.01.2019 10:00 - 02.01.2019 11:00","49.99"
"02.01.2019 11:00 - 02.01.2019 12:00","50.25"
"02.01.2019 12:00 - 02.01.2019 13:00","49.94"
"02.01.2019 13:00 - 02.01.2019 14:00","49.97"
"02.01.2019 14:00 - 02.01.2019 15:00","50.93"
"02.01.2019 15:00 - 02.01.2019 16:00","52.38"
"02.01.2019 16:00 - 02.01.2019 17:00","54.67"
"02.01.2019 17:00 - 02.01.2019 18:00","55.58"
"02.01.2019 18:00 - 02.01.2019 19:00","55.39"
"02.01.2019 19:00 - 02.01.2019 20:00","54.90"
"02.01.2019 20:00 - 02.01.2019 21:00","53.86"
"02.01.2019 21:00 - 02.01.2019 22:00","52.71"
"02.01.2019 22:00 - 02.01.2019 23:00","52.09"
"02.01.2019 23:00 - 03.01.2019 00:00","50.76"
"03.01.2019 00:00 - 03.01.2019 01:00","49.80"
"03.01.2019 01:00 - 03.01.2019 02:00","48.89"
"03.01.2019 02:00 - 03.01.2019 03:00","48.31"
"03.01.2019 03:00 - 03.01.2019 04:00","48.40"
"03.01.2019 04:00 - 03.01.2019 05:00","48.79"
"03.01.2019 05:00 - 03.01.2019 06:00","49.61"
"03.01.2019 06:00 - 03.01.2019 07:00","51.55"
"03.01.2019 07:00 - 03.01.2019 08:00","57.09"
"03.01.2019 08:00 - 03.01.2019 09:00","58.86"
"03.01.2019 09:00 - 03.01.2019 10:00","59.14"
"03.01.2019 10:00 - 03.01.2019 11:00","58.19"
"03.01.2019 11:00 - 03.01.2019 12:00","61.47"
"03.01.2019 12:00 - 03.01.2019 13:00","62.00"
"03.01.2019 13:00 - 03.01.2019 14:00","63.12"
"03.01.2019 14:00 - 03.01.2019 15:00","63.67"
"03.01.2019 15:00 - 03.01.2019 16:00","66.13"
"03.01.2019 16:00 - 03.01.2019 17:00","68.41"
"03.01.2019 17:00 - 03.01.2019 18:00","69.55"
"03.01.2019 18:00 - 03.01.2019 19:00","65.67"
"03.01.2019 19:00 - 03.01.2019 20:00","61.51"
"03.01.2019 20:00 - 03.01.2019 21:00","57.60"
"03.01.2019 21:00 - 03.01.2019 22:00","54.44"
"03.01.2019 22:00 - 03.01.2019 23:00","52.09"
"03.01.2019 23:00 - 04.01.2019 00:00","49.98"
"04.01.2019 00:00 - 04.01.2019 01:00","49.87"
"04.01.2019 01:00 - 04.01.2019 02:00","47.97"
"04.01.2019 02:00 - 04.01.2019 03:00","47.07"
"04.01.2019 03:00 - 04.01.2019 04:00","47.05"
"04.01.2019 04:00 - 04.01.2019 05:00","47.43"
"04.01.2019 05:00 - 04.01.2019 06:00","48.58"
"04.01.2019 06:00 - 04.01.2019 07:00","51.20"
"04.01.2019 07:00 - 04.01.2019 08:00","57.77"
"04.01.2019 08:00 - 04.01.2019 09:00","60.04"
"04.01.2019 09:00 - 04.01.2019 10:00","59.94"
"04.01.2019 10:00 - 04.01.2019 11:00","59.92"
"04.01.2019 11:00 - 04.01.2019 12:00","57.99"
"04.01.2019 12:00 - 04.01.2019 13:00","58.43"
"04.01.2019 13:00 - 04.01.2019 14:00","57.98"
"04.01.2019 14:00 - 04.01.2019 15:00","58.37"
"04.01.2019 15:00 - 04.01.2019 16:00","60.67"
"04.01.2019 16:00 - 04.01.2019 17:00","59.95"
"04.01.2019 17:00 - 04.01.2019 18:00","59.92"
"04.01.2019 18:00 - 04.01.2019 19:00","57.58"
"04.01.2019 19:00 - 04.01.2019 20:00","59.10"
"04.01.2019 20:00 - 04.01.2019 21:00","54.22"
"04.01.2019 21:00 - 04.01.2019 22:00","50.45"
"04.01.2019 22:00 - 04.01.2019 23:00","49.79"
"04.01.2019 23:00 - 05.01.2019 00:00","49.02"
"05.01.2019 00:00 - 05.01.2019 01:00","48.42"
"05.01.2019 01:00 - 05.01.2019 02:00","47.52"
"05.01.2019 02:00 - 05.01.2019 03:00","47.19"
"05.01.2019 03:00 - 05.01.2019 04:00","47.00"
"05.01.2019 04:00 - 05.01.2019 05:00","47.01"
"05.01.2019 05:00 - 05.01.2019 06:00","47.33"
"05.01.2019 06:00 - 05.01.2019 07:00","47.59"
"05.01.2019 07:00 - 05.01.2019 08:00","48.22"
"05.01.2019 08:00 - 05.01.2019 09:00","49.99"
