"MTU (CET)","Day-ahead Price [EUR/MWh]","BZN|HU"
"01.01.2019 00:00 - 01.01.2019 01:00","59.90"
"01.01.2019 01:00 - 01.01.2019 02:00","52.71"
"01.01.2019 02:00 - 01.01.2019 03:00","36.49"
"01.01.2019 03:00 - 01.01.2019 04:00","31.24"
"01.01.2019 04:00 - 01.01.2019 05:00","25.98"
"01.01.2019 05:00 - 01.01.2019 06:00","26.69"
"01.01.2019 06:00 - 01.01.2019 07:00","27.99"
"01.01.2019 07:00 - 01.01.2019 08:00","28.49"
"01.01.2019 08:00 - 01.01.2019 09:00","33.98"
"01.01.2019 09:00 - 01.01.2019 10:00","41.24"
"01.01.2019 10:00 - 01.01.2019 11:00","41.00"
"01.01.2019 11:00 - 01.01.2019 12:00","45.16"
"01.01.2019 12:00 - 01.01.2019 13:00","44.07"
"01.01.2019 13:00 - 01.01.2019 14:00","41.16"
"01.01.2019 14:00 - 01.01.2019 15:00","42.83"
"01.01.2019 15:00 - 01.01.2019 16:00","54.91"
"01.01.2019 16:00 - 01.01.2019 17:00","72.02"
"01.01.2019 17:00 - 01.01.2019 18:00","73.80"
"01.01.2019 18:00 - 01.01.2019 19:00","72.02"
"01.01.2019 19:00 - 01.01.2019 20:00","70.63"
"01.01.2019 20:00 - 01.01.2019 21:00","68.38"
"01.01.2019 21:00 - 01.01.2019 22:00","53.12"
"01.01.2019 22:00 - 01.01.2019 23:00","36.86"
"01.01.2019 23:00 - 02.01.2019 00:00","23.95"
"02.01.2019 00:00 - 02.01.2019 01:00","23.99"
"02.01.2019 01:00 - 02.01.2019 02:00","17.16"
"02.01.2019 02:00 - 02.01.2019 03:00","15.39"
"02.01.2019 03:00 - 02.01.2019 04:00","7.92"
"02.01.2019 04:00 - 02.01.2019 05:00","8.91"
"02.01.2019 05:00 - 02.01.2019 06:00","22.04"
"02.01.2019 06:00 - 02.01.2019 07:00","33.40"
"02.01.2019 07:00 - 02.01.2019 08:00","49.10"
"02.01.2019 08:00 - 02.01.2019 09:00","54.10"
"02.01.2019 09:00 - 02.01.2019 10:00","56.92"
"02.01.2019 10:00 - 02.01.2019 11:00","56.87"
"02.01.2019 11:00 - 02.01.2019 12:00","60.07"
"02.01.2019 12:00 - 02.01.2019 13:00","59.07"
"02.01.2019 13:00 - 02.01.2019 14:00","55.85"
"02.01.2019 14:00 - 02.01.2019 15:00","61.08"
