"MTU (CET)","Day-ahead Price [EUR/MWh]","BZN|CZ"
"01.01.2020 00:00 - 01.01.2020 01:00","33.20"
"01.01.2020 01:00 - 01.01.2020 02:00","30.40"
"01.01.2020 02:00 - 01.01.2020 03:00","28.53"
"01.01.2020 03:00 - 01.01.2020 04:00","27.37"
"01.01.2020 04:00 - 01.01.2020 05:00","26.38"
"01.01.2020 05:00 - 01.01.2020 06:00","26.50"
"01.01.2020 06:00 - 01.01.2020 07:00","27.01"
"01.01.2020 07:00 - 01.01.2020 08:00","27.40"
"01.01.2020 08:00 - 01.01.2020 09:00","27.99"
"01.01.2020 09:00 - 01.01.2020 10:00","27.71"
"01.01.2020 10:00 - 01.01.2020 11:00","28.40"
"01.01.2020 11:00 - 01.01.2020 12:00","28.98"
"01.01.2020 12:00 - 01.01.2020 13:00","29.50"
"01.01.2020 13:00 - 01.01.2020 14:00","29.43"
"01.01.2020 14:00 - 01.01.2020 15:00","30.51"
"01.01.2020 15:00 - 01.01.2020 16:00","33.32"
"01.01.2020 16:00 - 01.01.2020 17:00","38.11"
"01.01.2020 17:00 - 01.01.2020 18:00","41.24"
"01.01.2020 18:00 - 01.01.2020 19:00","42.66"
"01.01.2020 19:00 - 01.01.2020 20:00","42.08"
"01.01.2020 20:00 - 01.01.2020 21:00","39.51"
"01.01.2020 21:00 - 01.01.2020 22:00","37.50"
"01.01.2020 22:00 - 01.01.2020 23:00","35.60"
"01.01.2020 23:00 - 02.01.2020 00:00","31.60"
"02.01.2020 00:00 - 02.01.2020 01:00","32.01"
"02.01.2020 01:00 - 02.01.2020 02:00","31.50"
"02.01.2020 02:00 - 02.01.2020 03:00","29.66"
"02.01.2020 03:00 - 02.01.2020 04:00","28.70"
"02.01.2020 04:00 - 02.01.2020 05:00","29.18"
"02.01.2020 05:00 - 02.01.2020 06:00","32.01"
"02.01.2020 06:00 - 02.01.2020 07:00","36.26"
"02.01.2020 07:00 - 02.01.2020 08:00","41.50"
"02.01.2020 08:00 - 02.01.2020 09:00","45.65"
"02.01.2020 09:00 - 02.01.2020 10:00","48.01"
"02.01.2020 10:00 - 02.01.2020 11:00","45.00"
"02.01.2020 11:00 - 02.01.2020 12:00","45.00"
"02.01.2020 12:00 - 02.01.2020 13:00","45.98"
"02.01.2020 13:00 - 02.01.2020 14:00","48.00"
"02.01.2020 14:00 - 02.01.2020 15:00","46.83"
"02.01.2020 15:00 - 02.01.2020 16:00","51.36"
"02.01.2020 16:00 - 02.01.2020 17:00","69.74"
"02.01.2020 17:00 - 02.01.2020 18:00","59.99"
"02.01.2020 18:00 - 02.01.2020 19:00","49.16"
"02.01.2020 19:00 - 02.01.2020 20:00","55.20"
"02.01.2020 20:00 - 02.01.2020 21:00","46.28"
"02.01.2020 21:00 - 02.01.2020 22:00","41.50"
"02.01.2020 22:00 - 02.01.2020 23:00","38.00"
"02.01.2020 23:00 - 03.01.2020 00:00","26.50"
"03.01.2020 00:00 - 03.01.2020 01:00","29.92"
"03.01.2020 01:00 - 03.01.2020 02:00","27.50"
"03.01.2020 02:00 - 03.01.2020 03:00","27.54"
"03.01.2020 03:00 - 03.01.2020 04:00","25.40"
"03.01.2020 04:00 - 03.01.2020 05:00","28.50"
"03.01.2020 05:00 - 03.01.2020 06:00","32.04"
"03.01.2020 06:00 - 03.01.2020 07:00","35.22"
"03.01.2020 07:00 - 03.01.2020 08:00","41.00"
"03.01.2020 08:00 - 03.01.2020 09:00","42.69"
"03.01.2020 09:00 - 03.01.2020 10:00","43.20"
"03.01.2020 10:00 - 03.01.2020 11:00","42.32"
"03.01.2020 11:00 - 03.01.2020 12:00","42.29"
"03.01.2020 12:00 - 03.01.2020 13:00","42.41"
"03.01.2020 13:00 - 03.01.2020 14:00","41.98"
"03.01.2020 14:00 - 03.01.2020 15:00","41.51"
"03.01.2020 15:00 - 03.01.2020 16:00","41.00"
"03.01.2020 16:00 - 03.01.2020 17:00","42.59"
"03.01.2020 17:00 - 03.01.2020 18:00","43.00"
"03.01.2020 18:00 - 03.01.2020 19:00","41.96"
"03.01.2020 19:00 - 03.01.2020 20:00","42.21"
"03.01.2020 20:00 - 03.01.2020 21:00","39.88"
"03.01.2020 21:00 - 03.01.2020 22:00","33.57"
"03.01.2020 22:00 - 03.01.2020 23:00","31.73"
"03.01.2020 23:00 - 04.01.2020 00:00","29.69"
"04.01.2020 00:00 - 04.01.2020 01:00","18.10"
"04.01.2020 01:00 - 04.01.2020 02:00","13.01"
"04.01.2020 02:00 - 04.01.2020 03:00","11.00"
"04.01.2020 03:00 - 04.01.2020 04:00","10.96"
"04.01.2020 04:00 - 04.01.2020 05:00","11.00"
"04.01.2020 05:00 - 04.01.2020 06:00","10.79"
"04.01.2020 06:00 - 04.01.2020 07:00","11.00"
"04.01.2020 07:00 - 04.01.2020 08:00","15.71"
"04.01.2020 08:00 - 04.01.2020 09:00","31.01"
"04.01.2020 09:00 - 04.01.2020 10:00","32.48"
"04.01.2020 10:00 - 04.01.2020 11:00","37.50"
"04.01.2020 11:00 - 04.01.2020 12:00","38.00"
"04.01.2020 12:00 - 04.01.2020 13:00","37.37"
"04.01.2020 13:00 - 04.01.2020 14:00","40.40"
"04.01.2020 14:00 - 04.01.2020 15:00","40.22"
"04.01.2020 15:00 - 04.01.2020 16:00","39.86"
"04.01.2020 16:00 - 04.01.2020 17:00","39.53"
"04.01.2020 17:00 - 04.01.2020 18:00","38.08"
"04.01.2020 18:00 - 04.01.2020 19:00","36.34"
"04.01.2020 19:00 - 04.01.2020 20:00","35.00"
"04.01.2020 20:00 - 04.01.2020 21:00","33.67"
"04.01.2020 21:00 - 04.01.2020 22:00","31.94"
"04.01.2020 22:00 - 04.01.2020 23:00","31.29"
"04.01.2020 23:00 - 05.01.2020 00:00","28.61"
"05.01.2020 00:00 - 05.01.2020 01:00","29.35"
"05.01.2020 01:00 - 05.01.2020 02:00","27.89"
"05.01.2020 02:00 - 05.01.2020 03:00","28.01"
