"MTU (CET)","Day-ahead Price [EUR/MWh]","BZN|IE(SEM)"
"01.01.2020 00:00 - 01.01.2020 01:00","49.00"
"01.01.2020 01:00 - 01.01.2020 02:00","51.24"
"01.01.2020 02:00 - 01.01.2020 03:00","48.55"
"01.01.2020 03:00 - 01.01.2020 04:00","36.91"
"01.01.2020 04:00 - 01.01.2020 05:00","32.77"
"01.01.2020 05:00 - 01.01.2020 06:00","31.69"
"01.01.2020 06:00 - 01.01.2020 07:00","31.63"
"01.01.2020 07:00 - 01.01.2020 08:00","31.55"
"01.01.2020 08:00 - 01.01.2020 09:00","32.36"
"01.01.2020 09:00 - 01.01.2020 10:00","33.62"
"01.01.2020 10:00 - 01.01.2020 11:00","39.18"
"01.01.2020 11:00 - 01.01.2020 12:00","45.67"
"01.01.2020 12:00 - 01.01.2020 13:00","52.60"
"01.01.2020 13:00 - 01.01.2020 14:00","49.00"
"01.01.2020 14:00 - 01.01.2020 15:00","48.08"
"01.01.2020 15:00 - 01.01.2020 16:00","47.71"
"01.01.2020 16:00 - 01.01.2020 17:00","43.21"
"01.01.2020 17:00 - 01.01.2020 18:00","53.95"
"01.01.2020 18:00 - 01.01.2020 19:00","58.09"
"01.01.2020 19:00 - 01.01.2020 20:00","46.17"
"01.01.2020 20:00 - 01.01.2020 21:00","35.27"
"01.01.2020 21:00 - 01.01.2020 22:00","32.77"
"01.01.2020 22:00 - 01.01.2020 23:00","27.08"
"01.01.2020 23:00 - 02.01.2020 00:00","14.00"
"02.01.2020 00:00 - 02.01.2020 01:00","9.60"
"02.01.2020 01:00 - 02.01.2020 02:00","-1.00"
"02.01.2020 02:00 - 02.01.2020 03:00","-4.39"
"02.01.2020 03:00 - 02.01.2020 04:00","-4.48"
"02.01.2020 04:00 - 02.01.2020 05:00","-4.48"
"02.01.2020 05:00 - 02.01.2020 06:00","-5.20"
"02.01.2020 06:00 - 02.01.2020 07:00","-5.00"
"02.01.2020 07:00 - 02.01.2020 08:00","-4.39"
"02.01.2020 08:00 - 02.01.2020 09:00","15.00"
