name,AT,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,NL,NO,PL,PT,RO,RS,SE,SI,SK
2021-01-01 00:00:00,50.87,50.87,49.8219,50.98,45.54,50.87,50.87,24.95,50.87,24.95,41.88,70.19999999999999,50.87,50.87,45.54,55.09,50.87,24.95,50.87,24.95,50.87,24.95,34.18,50.87,44.392,38.89,24.95,50.87,45.54
2021-01-01 01:00:00,48.19,48.19,47.9298,45.94,41.59,48.19,48.19,24.35,48.19,24.35,38.6,70.34039999999999,48.19,48.19,41.59,54.02,48.19,24.35,48.19,24.35,48.19,24.35,32.61,48.19,40.542,34.86,24.35,48.19,41.59
2021-01-01 02:00:00,44.68,44.68,49.4955,44.53,40.05,44.68,44.68,23.98,44.68,23.98,36.55,65.2392,44.68,44.68,40.05,53.0,44.68,23.98,44.68,23.98,44.68,23.98,32.58,44.68,39.044000000000004,33.62,23.98,44.68,40.05
2021-01-01 03:00:00,42.92,42.92,46.6089,41.01,36.9,42.92,42.92,23.72,38.5,23.72,32.32,54.089099999999995,42.92,42.92,36.9,51.24,42.92,23.72,42.92,23.72,42.92,23.72,32.2,38.5,35.974000000000004,28.25,23.72,42.92,36.9
2021-01-01 04:00:00,40.39,40.39,45.2778,39.23,34.47,40.39,40.39,23.73,36.8,23.73,30.85,51.597,40.39,40.39,34.47,48.13,40.39,23.73,40.39,23.73,40.39,23.73,29.16,36.8,33.6,29.03,23.73,40.39,34.47
2021-01-01 05:00:00,40.2,40.2,44.135400000000004,38.43,32.82,40.2,40.2,24.06,36.55,24.06,30.14,51.95969999999999,20.96,40.2,32.82,47.3,40.2,24.06,40.2,24.06,40.2,24.06,28.46,36.55,32.0,29.22,24.06,40.2,32.82
2021-01-01 06:00:00,39.63,39.63,36.2457,39.57,30.71,39.63,39.63,24.44,36.6,24.44,30.17,53.8551,39.63,39.63,27.7,47.63,39.63,24.44,39.63,24.44,39.63,24.44,28.11,36.6,27.0,29.71,24.44,39.63,27.7
2021-01-01 07:00:00,40.09,40.09,19.9206,40.78,15.0,40.09,40.09,24.93,36.55,24.93,30.0,59.669999999999995,40.1,5.91,15.0,45.36,40.09,24.93,40.09,24.93,40.09,24.93,28.46,36.55,14.624000000000002,1.08,24.93,5.91,15.0
2021-01-01 08:00:00,41.27,41.27,19.9461,42.72,8.43,41.27,41.27,24.9,36.55,24.9,30.65,45.629999999999995,20.0,41.27,8.43,43.45,41.27,24.9,41.27,24.9,41.27,24.9,28.46,36.55,8.214,1.1,24.9,41.27,8.43
2021-01-01 09:00:00,44.88,44.88,20.3745,44.32,26.2,44.88,44.88,25.07,36.55,25.07,30.65,51.6789,40.74,41.67,20.77,47.79,41.67,25.07,44.88,25.07,44.88,25.07,30.62,36.55,20.248,36.07,25.07,41.67,20.77
2021-01-01 10:00:00,45.0,45.0,20.1093,46.14,31.64,45.0,45.0,30.02,37.55,25.63,30.27,60.020999999999994,45.0,45.0,27.7,51.82,45.0,30.02,45.0,30.02,45.0,25.63,32.49,37.55,27.0,1.1,25.63,45.0,27.7
2021-01-01 11:00:00,47.2,47.2,22.1901,46.35,42.4,47.2,47.2,37.14,37.55,25.92,30.34,67.7898,47.2,46.0,38.91,55.02,47.2,37.14,47.2,37.14,47.2,25.92,37.14,37.55,29.460000000000004,33.06,25.92,46.0,38.91
2021-01-01 12:00:00,50.78,50.78,22.1901,48.9,43.88,50.78,50.78,39.05,37.55,26.13,30.99,63.2853,48.43,46.0,41.78,57.02,48.43,39.05,50.78,39.05,50.78,26.13,39.05,37.55,28.28,35.21,26.13,46.0,41.78
2021-01-01 13:00:00,45.49,45.49,28.917,48.52,45.1,45.49,45.49,40.59,37.55,26.57,30.04,67.8015,24.85,45.49,41.3,61.32,45.49,40.59,45.49,40.59,45.49,26.57,40.59,37.55,27.8,27.65,26.57,45.49,41.3
2021-01-01 14:00:00,44.73,44.73,44.6607,48.05,43.01,44.73,44.73,40.79,36.6,27.3,30.75,77.04449999999999,44.73,44.73,42.74,64.52,44.73,40.79,44.73,40.79,44.73,27.3,40.79,36.6,33.6,22.5,27.3,44.73,42.74
2021-01-01 15:00:00,46.59,46.59,50.9541,49.02,44.32,46.59,46.59,45.47,35.5,28.61,32.11,81.89999999999999,46.59,46.59,43.06,68.07,46.59,45.47,46.59,45.47,46.59,28.61,45.47,35.5,41.978,29.58,28.61,46.59,43.06
2021-01-01 16:00:00,52.99,52.99,50.984700000000004,53.73,49.33,52.99,52.99,51.72,36.0,30.25,35.98,57.212999999999994,52.99,52.99,49.33,68.48,52.99,51.72,52.99,51.72,52.99,29.35,51.72,36.0,48.09,47.06,30.25,52.99,49.33
2021-01-01 17:00:00,60.26,60.26,51.3162,57.72,54.81,60.26,60.26,55.39,38.5,30.19,40.4,81.8181,60.26,60.26,54.81,96.09,60.26,55.39,60.26,55.39,60.26,29.3,55.39,38.5,53.434000000000005,52.03,30.19,60.26,54.81
2021-01-01 18:00:00,60.61,60.61,51.3111,58.3,55.0,60.61,60.61,53.01,52.01,28.82,44.05,99.2628,60.61,60.61,55.0,124.23,60.61,53.01,60.61,53.01,60.61,28.82,53.01,52.01,53.620000000000005,51.45,28.82,60.61,55.0
2021-01-01 19:00:00,60.36,60.36,51.102000000000004,58.12,55.0,60.36,60.36,55.74,55.16,28.25,46.16,82.56689999999999,60.36,60.36,55.0,93.0,60.36,55.74,60.36,55.74,60.36,28.25,55.74,55.16,53.617999999999995,51.71,28.25,60.36,55.0
2021-01-01 20:00:00,57.4,57.4,50.984700000000004,56.46,54.74,57.4,57.4,54.94,57.4,27.32,44.02,80.72999999999999,57.4,57.4,54.74,83.31,57.4,54.94,57.4,54.94,57.4,27.32,54.94,57.4,53.362,45.43,27.32,57.4,54.74
2021-01-01 21:00:00,53.86,53.86,51.14790000000001,53.89,51.5,53.86,53.86,50.82,53.86,28.25,40.68,70.70309999999999,53.86,53.86,51.5,74.0,53.86,50.82,53.86,50.82,53.86,26.98,50.82,53.86,50.206,41.85,26.98,53.86,51.5
2021-01-01 22:00:00,53.45,53.45,51.1173,52.02,51.25,53.45,53.45,45.22,53.45,27.01,40.66,63.0513,53.45,53.45,51.25,90.0,53.45,45.22,53.45,45.22,53.45,26.44,45.22,53.45,49.962,42.04,26.44,53.45,51.25
2021-01-01 23:00:00,49.72,49.72,51.2295,48.72,46.83,49.72,49.72,25.64,49.72,25.64,36.69,59.014799999999994,49.72,49.72,46.83,73.0,49.72,25.64,49.72,25.64,49.72,25.64,35.81,49.72,45.654,36.54,25.64,49.72,46.83
2021-01-02 00:00:00,46.69,46.69,45.9561,53.24,44.1,46.69,46.69,25.59,46.69,25.59,35.4,57.341699999999996,46.69,0.18,44.1,69.9,46.69,25.59,46.69,25.59,46.69,25.59,39.3,46.69,42.94800000000001,45.43,25.59,0.18,44.1
2021-01-02 01:00:00,42.43,42.43,39.9534,49.66,38.54,42.43,42.43,24.91,42.43,24.91,31.98,60.7932,42.43,0.17,38.54,69.9,42.43,24.91,42.43,24.91,42.43,24.91,39.37,42.43,37.532000000000004,40.16,24.91,0.17,38.54
2021-01-02 02:00:00,41.09,41.09,37.9236,46.04,38.08,41.09,41.09,24.74,40.1,24.74,30.5,61.3665,41.09,0.16,38.08,64.0,41.09,24.74,41.09,24.74,41.09,24.74,38.68,40.1,37.086000000000006,39.09,24.74,0.16,38.08
2021-01-02 03:00:00,40.0,40.0,29.590200000000003,43.49,37.1,40.0,40.0,24.66,39.11,24.66,28.79,58.4064,27.26,0.92,37.1,60.0,40.0,24.66,40.0,24.66,40.0,24.66,37.1,39.11,36.13,36.12,24.66,0.92,37.1
2021-01-02 04:00:00,37.55,37.55,31.62,42.04,36.88,37.55,37.55,24.72,37.55,24.72,28.42,56.7801,20.08,0.2,36.88,58.82,20.08,24.72,37.55,24.72,37.55,24.72,37.83,37.55,35.916000000000004,35.42,24.72,0.2,36.88
2021-01-02 05:00:00,39.0,39.0,43.4622,42.85,37.2,39.0,39.0,24.92,37.7,24.92,28.75,56.1483,39.0,0.91,37.2,55.03,39.0,24.92,39.0,24.92,39.0,24.92,38.53,37.7,36.228,37.2,24.92,1.0,37.2
2021-01-02 06:00:00,42.09,42.09,48.4755,45.26,40.56,42.09,42.09,30.05,39.6,25.62,34.16,58.558499999999995,42.09,0.15,40.56,54.9,42.09,30.05,42.09,30.05,42.09,25.62,38.95,39.6,39.496,36.81,25.62,0.15,40.56
2021-01-02 07:00:00,44.96,44.96,51.005100000000006,49.16,45.2,44.96,44.96,26.19,43.34,26.19,42.07,73.4994,46.57,1.01,45.2,58.82,46.57,26.19,44.96,26.19,44.96,26.19,44.31,43.34,44.02,39.81,26.19,1.01,45.2
2021-01-02 08:00:00,48.45,48.45,51.005100000000006,53.27,49.67,48.45,48.45,43.3,48.45,28.02,44.89,58.5468,31.88,43.0,49.67,55.0,51.33,43.3,48.45,43.3,48.45,26.7,43.3,48.45,48.37200000000001,46.15,28.02,43.0,49.67
2021-01-02 09:00:00,52.0,52.0,51.0102,58.83,55.43,52.0,52.0,47.85,51.6,27.65,45.26,62.01,48.81,43.1,55.43,61.51,54.6,47.85,52.0,47.85,52.0,26.89,47.85,51.6,53.978,51.04,27.65,43.1,55.43
2021-01-02 10:00:00,52.0,52.0,51.0102,59.45,57.33,52.0,52.0,50.75,52.0,28.83,45.57,65.9529,48.81,52.0,57.33,72.96,53.17,50.75,52.0,50.75,52.0,27.7,50.75,52.0,55.83200000000001,53.3,28.83,52.0,57.33
