name,AT,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,NL,NO,PL,PT,RO,RS,SE,SI,SK
2020-01-01 00:00:00,41.88,41.88,38.8926,35.42,33.2,41.88,33.42,28.78,41.88,28.78,41.88,46.7298,66.01,41.88,33.55,49.0,41.88,28.78,41.88,28.78,41.88,31.82,34.95,41.88,32.062000000000005,32.07,28.78,41.88,33.2
2020-01-01 01:00:00,38.6,38.6,34.970699999999994,34.04,30.4,38.6,31.77,28.45,38.6,28.45,38.6,50.8365,66.01,38.6,30.4,51.24,38.7,28.45,38.6,28.45,38.6,31.77,34.67,38.6,29.054000000000002,29.06,28.45,38.6,30.4
2020-01-01 02:00:00,36.55,36.55,30.0849,31.52,28.53,36.55,31.57,27.9,36.55,27.9,36.55,48.11039999999999,58.99,36.55,28.53,48.55,36.55,27.9,36.55,27.9,36.55,31.57,33.3,36.55,27.266000000000005,31.11,27.9,36.55,28.53
2020-01-01 03:00:00,32.32,32.32,26.7801,28.29,27.37,32.32,31.28,27.52,32.32,27.52,32.32,35.0766,53.16,32.32,27.37,36.91,32.32,27.52,32.32,27.52,32.32,31.28,31.91,32.32,26.158,27.08,27.52,32.32,27.37
2020-01-01 04:00:00,30.85,30.85,29.1873,26.92,26.38,30.85,30.85,27.54,30.85,27.54,30.85,31.707,53.48,30.85,26.38,32.77,30.85,27.54,30.85,27.54,30.85,30.72,27.54,30.85,25.212000000000003,26.01,27.54,30.85,26.38
2020-01-01 05:00:00,30.14,30.14,29.7942,26.96,26.5,30.14,30.14,26.55,30.14,26.55,30.14,30.852899999999998,53.49,30.14,26.5,31.69,30.14,26.55,30.14,26.55,30.14,30.27,26.62,30.14,25.326,24.99,26.55,30.14,26.5
2020-01-01 06:00:00,30.17,30.17,26.5404,27.91,27.01,30.17,30.17,25.83,30.17,25.83,30.17,30.7944,54.0,30.17,27.01,31.63,30.17,25.83,30.17,25.83,30.17,30.17,25.83,30.17,25.810000000000002,26.7,25.83,30.17,27.01
2020-01-01 07:00:00,30.0,30.0,25.8621,27.63,27.4,30.0,30.0,25.07,30.0,25.07,30.0,30.700799999999997,50.78,30.0,27.4,31.55,30.0,25.07,30.0,25.07,30.0,30.14,26.02,30.0,26.189999999999998,27.09,25.07,30.0,27.4
2020-01-01 08:00:00,30.65,30.65,25.9029,27.03,27.99,30.65,30.63,25.65,30.65,25.65,30.65,31.4964,51.02,30.65,27.99,32.36,30.65,25.65,30.65,25.65,30.65,30.49,26.99,30.65,26.752,28.12,25.65,30.65,27.99
2020-01-01 09:00:00,30.65,30.65,25.3776,27.96,27.71,30.65,30.59,26.15,30.65,26.15,30.65,32.7249,54.62,30.65,27.71,33.62,30.65,26.15,30.65,26.15,30.65,30.59,31.4,30.65,26.482,30.92,26.15,30.65,27.71
