cluster,,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m
lv,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
opt,,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0
planning_horizon,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
,carrier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generators,coal,0.8880741824302366,0.9992313207886231,0.9996307468497174,0.9999829263808547,0.9997443726626742,0.9999277460814061,0.9937906005241897,0.9023452862976488,0.9915420003716895,0.9996467245751507,0.9989876789737895,0.9999495845665926,0.9998553569844987,0.9997734249441463,0.8846730085265766,0.9391821746225393,0.991606718860252,0.9999548821861193,0.9998565052798832,0.9995815076911065,0.975902048216897,0.8980780324110326,0.9400198847552597,0.9978965801555987,0.9998872029506979,0.9998025950286054,0.9998924280107367,0.9631643340886007,0.9061234395351008,0.9568365677500467,0.9778637061502011,0.9969408044272878,0.9997505010434873,0.9999821954977576,0.9775888278888765,0.8974175769195765,0.969090597568774,0.9859177982358708,0.9946736945033302,0.9998838744092344,0.9997612032371378,0.9525856183007143
generators,gas,0.9127205196530092,0.8812271363597332,0.935729484332116,0.9943268619760302,0.9534356617128746,0.9951386547021994,0.9979382149851938,0.9216990425380733,0.8015420277307328,0.1348037061935853,0.9709476422063675,0.9939960854207932,0.996891867546012,0.9949607980449875,0.8777730616414772,0.8839312229954608,0.8684215208737299,0.9898990504738815,0.9656595308764133,0.9165248240799772,0.999135197439538,0.751476376746662,0.7942517847229872,0.9549767878109852,0.9859513669497634,0.9652897367308986,0.9735628989368341,0.9952695872746978,0.8727364626925131,0.8078222798279192,0.8860119306163713,0.9125781493484832,0.978584601320417,0.9890590226937302,0.9942934578261682,0.9309025351337179,0.8323167068342489,0.9196850416947059,0.9019462885403842,0.9622777031184111,0.9463187680534815,0.9950576131852655
generators,lignite,0.9750279602314376,0.9992843964940957,0.9982695686943448,0.9986083530242703,0.9998486763401626,0.9999774916683659,0.9997714042615549,0.9874887156602355,0.9859395707008985,0.9998737055612265,0.9956786987144336,0.9999785858606255,0.9999540972259261,0.9999098355457176,0.9765616375084147,0.9921775218420245,0.9889113181849396,0.998494989001595,0.9998637492645295,0.9997539975337363,0.9882369110344627,0.9745250274416092,0.9883763192342829,0.9957263171671281,0.9999778766319223,0.999883949802289,0.9998747127898856,0.9693493437615804,0.9906609566019207,0.9851851961668969,0.9968806221602362,0.9983614089940843,0.999705835357968,0.9999674105230876,0.9765294864461372,0.9829453271815034,0.989560607149896,0.9948945700855727,0.9926158241798453,0.9998837018105589,0.9999317640174904,0.9641061630155499
generators,offwind,0.45547045945857567,0.4411001966502574,0.42487775445404163,0.43889363347166105,0.45478486473878854,0.44401357987932616,,0.4554754165441543,0.4550958390583055,0.42098776255124626,0.43507631136979685,0.44652856336100966,0.4535621366051951,,0.45547177034783026,0.4578418043747882,0.43504102758311575,0.4290338039544336,0.4441234382729011,0.4497068634207861,,0.45547725241336,0.45786115168923996,0.44337051551365186,0.4307995006056225,0.43840929197964407,0.44636152835610693,,0.4554769238629624,0.4585423913590267,0.4499780860939734,0.4361654487665143,0.43668678118207915,0.441135869912186,,0.45547423970605544,0.45895597562908996,0.4581358528221274,0.4374056634078126,0.4355583801098197,0.43814663132909465,
generators,offwind-ac,0.35075057444723057,0.5031144271075533,0.4584131128424265,0.4730259405667203,0.4729333003060865,0.47293463311550843,0.4729444543226753,0.35146767543551244,0.5287457241206234,0.4375083440901077,0.4596773724083693,0.47242041603045704,0.4750459652855743,0.4749917748276746,0.3501334913368146,0.44472566882879,0.49812931764243884,0.4491528880078627,0.47055443795704816,0.47340150585496704,0.4780105889682735,0.3505871841940387,0.43161057027095984,0.4852471324565788,0.43667929032671243,0.45150256731265087,0.46872561742392277,0.48002144045315975,0.3521568385804908,0.37943625860423785,0.5002705528793155,0.4890378039929482,0.4750116499036096,0.4670356857936924,0.48039252084158085,0.35142704838667643,0.32688484650351424,0.5107924930968712,0.4914406670120988,0.4863777161825515,0.4598389396890926,0.48008135783788664
generators,offwind-dc,0.4458264813921439,0.5438822042278829,0.5460254437950167,0.547558266688637,0.5477600221274984,0.5478043480422196,0.5478284468514474,0.4462472887369233,0.5530716901912042,0.5367741014803413,0.543435363289299,0.547200945120776,0.5472684390650562,0.5468733492265584,0.44522977226422694,0.5636439506475281,0.535663335295153,0.5396749099064685,0.5424652302507642,0.5424860603406733,0.5418094526011605,0.4457483952857901,0.5636532141927614,0.5407112512167723,0.5356699545090112,0.5399510882031623,0.5423632640840608,0.5412403156158152,0.4471684486094118,0.4793488747061716,0.5576189337247509,0.5432397603498785,0.537367504837676,0.5400440776124111,0.5418688982553587,0.44626193889589066,0.4197187519239757,0.5636566200344707,0.5504600607619439,0.5421569875281339,0.5420632728585278,0.5419922016435402
