cluster,,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m
lv,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
opt,,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0
planning_horizon,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
generators,coal,1926775954.7162795,3142703.024140083,424687.9880757115,1655170.7003378426,5166406.9189205775,3658530.353559317,2882709.053413627,1926786466.4895802,103474540.10978617,5142092.356817876,3250475.633694929,5303607.204628276,3510970.071152639,2873784.2120245486,1926790992.8639326,629997761.4807698,9577573.436280677,3678192.9782609553,5481346.850822764,3411632.702936723,1258555.4496317327,1926796034.325408,1388078700.3160694,29932919.2882308,11852926.999278193,6898473.558523007,4306315.2116383705,30479.51711593599,1926780494.006245,1594413736.2141902,283740935.82887644,13433160.645750731,8431350.28610862,4416454.059697228,18.504380744680113,1926786851.3978915,1687927312.0758843,762729225.7430856,35438022.62779968,9212311.15743713,5378563.4737987975,6.175947981988535
generators,gas,4117397251.658735,4188750721.8099513,708516473.9249868,556391513.607867,483941950.2187166,428859078.8809271,356897699.74664056,4117378806.634442,4652075193.995382,1940480170.9448829,766500851.8488669,564619697.5959377,467881288.3974311,342174357.1347579,4117370666.900088,4765333567.475617,4028649431.3392463,1778855541.2752109,1175086249.7798378,783657309.1015186,304350173.57707864,4117362326.973199,4345845177.573616,4564810843.563428,3164606676.2415314,1769474379.8242698,1440350203.094687,324029134.85009575,4117388885.839603,4531707576.807259,4796823718.610296,4368981327.257239,3010061564.091034,1879480003.0598872,331640889.8633644,4117378136.237779,4783054739.217906,4815296363.736874,4695545316.548391,4123183136.329279,2926916063.3350224,345011043.6531769
generators,lignite,1331233348.7629611,21597815.31192108,179.23612243787562,8.827939061525843,1359027.963736519,220625.62363451163,610582.1587737375,1331234858.5445838,519487122.0779717,211763.94634096904,326.3123855940325,1415897.9615057325,201188.97780077136,295304.3035240406,1331234211.162002,722637085.8552284,23649162.43528709,2238.84106834448,1936846.97396025,228410.87810919457,18.458544245860875,1331234739.9283876,724658994.8389933,101219362.8167991,3397838.673078393,2975788.0255072243,276229.7662191456,3.517531551118191,1331234783.884427,730081226.6133806,391743094.23973227,45729141.7518689,3483141.3828783194,305295.00760343845,4.961873062223137,1331234606.6936922,730295176.976037,445253525.384688,114827394.71824674,14128229.352386536,684114.6795326398,1.8549791312359922
generators,offwind,15079938.522522304,14604160.839904794,13973901.941596348,13716216.814813802,11886513.40495781,5771125.863947069,,15080102.644133748,15067535.407264136,13845963.105464265,13596918.621338114,11670722.061376667,5895234.506522824,,15079981.924084255,15158450.168688508,14308164.163194254,13408079.37762737,11607860.357267808,5845125.077903157,,15080163.426988445,15159090.729028814,14582114.60269089,13463260.579289671,11458512.210970765,5801643.638167502,,15080152.54918135,15181645.544881664,14799432.50741439,13630956.127319511,11413491.698475914,5733722.44393272,,15080063.680802934,15195338.69497935,15067735.168889636,13669715.069394855,11383999.17242343,5694869.41582246,
generators,offwind-ac,5834.4033476085015,27293191.86448143,531977304.9294792,1066789431.4194111,1088481876.5795002,1088482814.4069014,1088505396.576262,3918.8815565938676,11255120.867245898,141072747.73348668,459313477.6762283,746617564.8750385,833966962.977482,833863555.6483592,4904.429386601095,37272.088676201936,54028593.67336873,219462205.8068759,456156310.0028472,577175390.1908857,777477451.2938743,4134.186706374823,11628.792004147419,45523182.18288289,96732996.83457196,214679027.41403332,402949331.60819584,808021904.0008628,3849.705906066,5922.77865857773,15722456.932940774,81082977.5532463,108659519.99168539,196776344.9977281,801021697.1531034,4287.321256823671,3242.25957032113,46192.107392634185,73534202.64351358,91299703.26039726,123629303.72105792,800917101.3424404
generators,offwind-dc,5331.805760988552,415216052.0014574,1494819555.2735934,2261599772.765239,2262583587.2355847,2262674884.0490055,2262774413.441232,3568.62970365864,317793923.8908879,607168942.7822082,1255008844.4889503,1548734042.8447359,1548925518.1122377,1547716764.881465,4504.385197495779,139415526.27805576,462327063.3763879,698095619.6201584,1133796334.3259957,1191938972.592958,1220354490.8052344,3737.0701344044674,126457937.1149834,384076707.4009017,527939627.31750005,700195971.0750769,978971798.4587123,1195448285.6462843,3487.750660425872,6846.868791525032,302665908.3597198,486973567.96428764,558031621.5192232,668698315.1510469,1180033367.9478476,3915.0656427664335,2834.3734270510645,205226144.26491442,422831360.6632432,504056732.5263335,550205968.4097924,1187460585.1009848
generators,oil,5133799004.866107,4765783973.294804,2721762275.1068163,795859386.3984141,126127588.77132499,0.3335797300975692,0.22379062581887554,5133796993.796392,4764791581.62441,4076028030.6101236,2186536295.324206,939935262.3987216,369615198.2427762,1.0308714130507861,5133798412.547989,4748347684.448781,4152036246.809405,3037462475.4858627,1663664898.2473104,870922237.0123664,1.1827248421801528,5133797327.274043,4748615526.378468,4153323751.387083,3375143847.3602595,2421128277.2335753,1344922858.8117695,4.588933372048309,5133797145.956267,4751651045.089716,4140427662.1709795,3380067186.673285,2623603926.321723,1973266211.593699,6.391199470615767,5133797426.151223,4753964605.54306,4140640410.3835945,3379408792.340194,2623608587.765609,2115343414.5363052,3.266763834924411
