cluster,,,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m
lv,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
opt,,,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0
planning_horizon,,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
generators,,coal,247672.54510455334,359.03203344435417,48.49827207533077,188.9496530336199,589.9232798460876,417.67062965923014,331.1325099944426,243756.792791302,11912.92159944953,587.2042892303552,371.4348736263807,605.4651371877908,400.8536509037465,328.13190495498225,248626.6762608666,76574.65678515151,1102.5846035028358,419.9039883304689,625.8143274013862,389.6188404946216,147.2183747239647,244916.22916826478,168567.14970457883,3424.202454141095,1353.2264983211346,787.6524680794815,491.64138132065926,3.6124644651998317,242739.67716890434,190221.3048870621,33123.754961930674,1538.171394259883,962.7231077839349,504.1703988428623,0.002160798252665774,245095.30744045024,198831.52999535098,88313.19048454125,4067.0989847142737,1051.755829538407,614.1379182791211,0.0007401086887903272
generators,,gas,514968.71954991313,542615.9396235124,86436.17345943021,63877.39826590931,57942.572407981825,49195.673007634905,40825.92081817888,509949.98369746614,662546.4339074311,1643248.5983086152,90118.24473273044,64843.618927579475,53577.63235938602,39258.83286021826,535468.110224164,615418.752066464,529571.7304807265,205137.78749621264,138912.5894453274,97606.29999214371,34773.24248880648,625460.1541983606,624614.3316394899,545664.7061078133,366403.9444543846,209258.19941012512,168888.4604637424,37165.435113193664,538560.7023457855,640386.1708799456,618030.7480721824,546519.9457184793,351134.0085841361,216925.8930376951,38075.830403159634,504908.2126728181,656013.2825592174,597695.2334795721,594293.8749984371,489134.27475765103,353076.4152205545,39580.444200374775
generators,,lignite,155859.40450361435,2467.2696178297415,0.020496211857178755,0.001009159995085992,155.16365844140378,25.18614037225945,69.71709670857187,153892.84676933303,60147.888012503376,24.177019900439152,0.0374119405950748,161.63564867480773,22.96783257498888,33.713576698213075,155614.7301578961,83143.20391662528,2729.9475973665617,0.2559606880735957,221.1313820486281,26.08071707473998,0.0021322212624986874,155940.0033715297,83696.49083854818,11604.314944304317,387.8897084905362,339.7412564357828,31.537029521962946,0.0004142414705291182,153400.05081452153,84595.87710214086,44859.464926701454,5228.789508632924,397.7358791565255,34.852164079029265,0.0005800376470063982,154604.14394684182,84246.51176775838,51088.8585989356,13205.663019549702,1612.9991587888776,78.10061232368768,0.00021963930603477387
generators,,oil,621950.7338158372,863232.6840580746,381728.0833639294,91926.82368448013,14432.258310818976,3.824278396796765e-05,2.5592592610210532e-05,638261.183270982,725773.5047941945,604658.0007878342,301002.93151419354,110094.07351463809,42369.21392727749,0.00011786302915899996,635238.5673386853,774287.7995943256,650401.6674151942,395936.74309590267,222221.84798633258,108566.38526900535,0.00013943625172267108,593748.7420531326,849368.815163176,688696.5760646006,452141.6024642415,293491.473153988,154458.31432939356,0.0005287868049182317,636544.9026467435,746247.9619583461,555745.339805158,586624.9880974117,377389.1907155537,234167.48877761737,0.0007297461431558153,658471.5196373372,781114.0051046506,551657.5859312426,481853.27763530135,344607.2705366205,248379.13949596183,0.0003736187894284483
generators,,uranium,496446.14153231983,419308.13929000625,471297.82616423414,690252.6514887698,1986236.762782079,4449057.444938045,353305.8783516422,484259.75530057505,546317.4252955032,393241.4961247196,401084.15347361856,402128.05043242173,441584.4646620169,396994.19503068825,544384.1910633867,589887.0250528904,1364549.0883436988,443950.2448825747,397440.96145213355,379168.70962306566,410999.2675531225,434779.5334740132,448332.5943674631,438822.88960278634,3682584.6079148203,406164.0502582463,378349.3092418864,381000.5229859103,417159.3123849622,591678.6066217388,562890.9018170963,725230.5736344612,393424.6136080662,391514.386001638,336923.6739823437,489294.0796357542,534605.5182372887,975007.1533905211,606675.9117703992,395672.9276427056,490983.4485434456,446681.39929696626
generators,AL0 0,offwind-ac,0.005496160428898096,0.004750635277787155,0.02807054019274524,0.0015886807543686009,0.0008639995517423585,0.00019497169399264262,0.0001819263087202682,0.0036941174917155717,0.04742215839316681,0.0018393155613931306,0.005296641723042406,0.0018035529019093757,0.0009584043713661961,0.0006093567560512465,0.004603904320013688,0.012678470689081697,0.006328573598824581,0.0028481884825448185,0.002769341151078741,0.0017199030735325664,0.0017134079844124466,0.0038852593107749946,0.004701619348303701,0.0041719293110755885,0.0027645358752121717,0.0031209294039475214,0.003266268521264877,0.003358214523288723,0.0036933987578942765,0.004578098656027771,0.003819031177482036,0.021656599951612506,0.001799039287042009,0.0011385984151792848,0.005365188098528517,0.0040151217776400105,0.004131512230295551,0.0029323566913581974,0.017732952733100688,0.0025607181324934373,0.01821010901394763,0.0023350488118481384
generators,AL0 0,onwind,0.0067005511189630156,0.003765528312458348,0.01835873361346537,0.0014706135944480237,0.0008602566911299758,0.00021935667831686929,0.0001979402202868677,0.004502955878004413,0.053722984359034796,0.001428703956119049,0.004327733005886413,0.0014372421699566304,0.0009637257643214333,0.000598402907001371,0.005612396809189998,0.015010518049488693,0.006555064573117391,0.0025104000214827057,0.002409992226499157,0.0014922965299633698,0.0015082353527748776,0.004784910757289153,0.0054401345396056944,0.004644722739492688,0.002940686818416121,0.0025998341029143056,0.0033045071694949987,0.0032997697433004665,0.0045149275980322446,0.0033427048905065922,0.004273684467835173,0.01763036249648514,0.0020265469007302857,0.0011652433971518776,0.005014875364525355,0.0048953633259042496,0.003772731718060591,0.0026689112064080434,0.02057142866510731,0.0030335818296363445,0.015468459317396474,0.0018224706936326041
