cluster,,,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m
lv,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
opt,,,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0
planning_horizon,,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
generators,,coal,0.8880741824302366,0.9992313207886231,0.9996307468497174,0.9999829263808547,0.9997443726626742,0.9999277460814061,0.9937906005241897,0.9023452862976488,0.9915420003716895,0.9996467245751507,0.9989876789737895,0.9999495845665926,0.9998553569844987,0.9997734249441463,0.8846730085265766,0.9391821746225393,0.991606718860252,0.9999548821861193,0.9998565052798832,0.9995815076911065,0.975902048216897,0.8980780324110326,0.9400198847552597,0.9978965801555987,0.9998872029506979,0.9998025950286054,0.9998924280107367,0.9631643340886007,0.9061234395351008,0.9568365677500467,0.9778637061502011,0.9969408044272878,0.9997505010434873,0.9999821954977576,0.9775888278888765,0.8974175769195765,0.969090597568774,0.9859177982358708,0.9946736945033302,0.9998838744092344,0.9997612032371378,0.9525856183007143
generators,,gas,0.9127205196530092,0.8812271363597332,0.935729484332116,0.9943268619760302,0.9534356617128746,0.9951386547021994,0.9979382149851938,0.9216990425380733,0.8015420277307328,0.1348037061935853,0.9709476422063675,0.9939960854207932,0.996891867546012,0.9949607980449875,0.8777730616414772,0.8839312229954608,0.8684215208737299,0.9898990504738815,0.9656595308764133,0.9165248240799772,0.999135197439538,0.751476376746662,0.7942517847229872,0.9549767878109852,0.9859513669497634,0.9652897367308986,0.9735628989368341,0.9952695872746978,0.8727364626925131,0.8078222798279192,0.8860119306163713,0.9125781493484832,0.978584601320417,0.9890590226937302,0.9942934578261682,0.9309025351337179,0.8323167068342489,0.9196850416947059,0.9019462885403842,0.9622777031184111,0.9463187680534815,0.9950576131852655
generators,,lignite,0.9750279602314376,0.9992843964940957,0.9982695686943448,0.9986083530242703,0.9998486763401626,0.9999774916683659,0.9997714042615549,0.9874887156602355,0.9859395707008985,0.9998737055612265,0.9956786987144336,0.9999785858606255,0.9999540972259261,0.9999098355457176,0.9765616375084147,0.9921775218420245,0.9889113181849396,0.998494989001595,0.9998637492645295,0.9997539975337363,0.9882369110344627,0.9745250274416092,0.9883763192342829,0.9957263171671281,0.9999778766319223,0.999883949802289,0.9998747127898856,0.9693493437615804,0.9906609566019207,0.9851851961668969,0.9968806221602362,0.9983614089940843,0.999705835357968,0.9999674105230876,0.9765294864461372,0.9829453271815034,0.989560607149896,0.9948945700855727,0.9926158241798453,0.9998837018105589,0.9999317640174904,0.9641061630155499
generators,,oil,0.9422773908717237,0.6302347865239692,0.8139392138099656,0.988302700847167,0.9976350382584037,0.995740213288738,0.9982136426180871,0.9181975976247972,0.7494431472691052,0.7695259185986889,0.829243086328829,0.9746078286553812,0.9958531648370825,0.9984418853914507,0.9225668547641203,0.7000611693864477,0.7287446577236198,0.8757517400655666,0.8546238184757052,0.915756257745584,0.9682865805871087,0.9870335407840816,0.6382143873321622,0.6884362902180251,0.8521454151407117,0.9417122193137814,0.9939899148857627,0.9906654944595935,0.9206733100361641,0.7268708874805793,0.8504822726435639,0.6577497147222376,0.793605573432964,0.961955483784264,0.9997846340218552,0.8900156149728768,0.6947641700408526,0.8568283261006671,0.8006114668198785,0.8691015043505599,0.9722135249645117,0.9981249780462559
generators,,uranium,0.7955947463720667,0.924824347163821,0.81447864873881,0.5632221575225601,0.19866353036141354,0.08134400355725681,0.9299800773333344,0.8156157983659624,0.7187052569042037,0.9581151617434697,0.9624804032364812,0.9733484186937207,0.8560080861225001,0.8239511932513439,0.7255352915507977,0.6686250873605503,0.28120821850432365,0.8612784702409827,0.9784579507965737,0.9898338428880996,0.7906531009417261,0.9084376587402901,0.879799695514102,0.8823340671131602,0.10380422718261194,0.9447441247752442,0.9779969363655112,0.8501845414807921,0.9468082629957277,0.6672865785476285,0.694533043672917,0.5312047647503847,0.9788803164480233,0.9463471153540545,0.9589641665295846,0.8072239867728315,0.7392373627673754,0.4028107959134628,0.6390982686307876,0.9775663840159061,0.754504230596242,0.7229743810156558
generators,AL0 0,offwind-ac,0.10337678339687795,0.12133759937478067,0.1300435881763971,0.12619715116605829,0.11783918891812796,0.10568164346369935,0.11008933614787801,0.10337191256405273,0.11234254490766833,0.12757772275624066,0.12509855406471498,0.12422742988156057,0.12121935007746605,0.11483920257902064,0.10337284847704037,0.10548666240696383,0.11672107812314941,0.12640491220254133,0.12145885290748526,0.12318297255106461,0.1246894219966731,0.10332936923373369,0.10578321239062037,0.11439117041544387,0.12170340881071935,0.12080821324637711,0.12094850235765968,0.12434565155474288,0.10331636670273507,0.10545232208745207,0.11123749867532252,0.11910532203782527,0.1197466010983339,0.12111080742020312,0.12397254103554846,0.10337535682812247,0.10392515637207364,0.11563217162780703,0.11653083157640637,0.11476372209803552,0.12057510881291614,0.12639435253902453
generators,AL0 0,onwind,0.030415244347491543,0.03403829957187964,0.036466197782181915,0.03606135265692846,0.0339072894637087,0.03191835900781069,0.03251052662363344,0.030412831900670272,0.03222108452887778,0.03594606466581052,0.03558190660707741,0.0356517010672562,0.035054559782162535,0.03348507528887064,0.03041364845682793,0.03083844135216624,0.033273331925281306,0.036665851336355575,0.03452773721268455,0.03605294205495683,0.03631612364576449,0.03041496062742801,0.030787205348283504,0.032842654235964455,0.03477806499375817,0.03425988936881805,0.0346570740324824,0.03617270647802377,0.03040730593935504,0.030111388195923877,0.0320519842416042,0.03375989676256978,0.034007840970970156,0.03432709429294925,0.03606705625776636,0.030417128027806176,0.030917292981397775,0.03236662739840946,0.032843895837968186,0.0328536198508495,0.0340222601470035,0.036269255927520776
