cluster,,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m
lv,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
opt,,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c10
planning_horizon,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
,carrier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generators,coal,241641.01749068845,289.42216855511754,53.703396788543024,205.4796654734469,597.5157816036204,417.6452862014103,328.92196935178885,244925.63601222684,201558.88474022356,87862.29866514356,3988.3931803980136,1062.2334208594239,653.34994166155,0.008513051238967156,292643.90090315865,4165.551264910115,199.57823539639784,476.11370085689094,612.2323501015674,453.05914135531094,339.1578141077823,294742.41544193216,194321.3243747832,144162.70457474017,85425.71433610388,17442.525303970124,2724.0359097338237,10.347287214837365,333802.11772893945,3215.972677175024,213.86885829282625,438.7905399755458,616.3818645357094,428.53294625148027,345.7948607404407,293531.38938072446,183673.26268706046,104668.18088331562,74285.56806392645,7683.077870629451,1053.1643638517094,0.008091241964137404,336925.0938469247,2580.2103464759466,196.4837109164845,434.55922055891625,595.9843241988815,409.7962599905203,338.8567720646575,343590.8110365081,166390.86751095255,88588.31578254336,60681.41512339572,5358.049295880318,693.749369179825,0.013109697018920816,196761.36166278188,1496.3033295117825,155.81462021589087,360.35441543394523,622.7531063244123,396.5170657903297,336.27977708876716,211562.33152345,142206.03730871185,64786.980173090764,48952.802257701616,2353.283116491402,670.3026155281856,0.0073500011358970194,701.3494253094149,272.07153955956136,104.53598240764467,243.130496435877,443.80462955960087,334.8632828440109,257.26944112567105,704.4090966698861,1898.1892360178012,2316.2796217325235,1241.5394622147023,860.4072476276903,676.6997382207439,0.006622709781545298,31.33722731630491,118.0026714318461,12.173523931431744,18.18518342523972,287.3858897360376,2106.416106235089,231.4243371466505,31.26989080493331,118.39800772361374,389.4846886342191,550.9571833113009,636.8916641981646,585.0734465595525,0.003795418868146594
generators,gas,785051.4917519267,4620841.815782097,104837.35944216824,127295.52611618332,56343.1732939264,49397.77185840087,40875.06991538905,636198.458477104,597184.083769775,862051.1957496374,899583.389804517,607420.5476544828,348698.16153772164,39703.15890195297,378625.5896971908,362547.58621165826,72643.61814108487,56453.00902176002,63409.39121313478,48891.23538567377,57430.34113151369,360032.87357347505,397761.735268848,383458.08271851117,400460.46935804945,450431.12544825376,423038.9610134953,45015.65151373708,359991.5793368062,361702.49433582276,72981.7664462653,100438.0107537562,51973.880779837295,166237.6424103955,431981.1100116142,365456.53883582633,1567934.0691063984,565343.6158520137,404168.9114970438,441900.74980376696,367386.79979489575,43225.5442734308,359635.84775614913,368314.760674474,698985.8631084027,69259.8878531411,48320.044928431635,270779.13542688463,41013.02852534277,367379.19517280126,367140.85613887734,725523.1276580135,377023.95089414174,366034.4127774395,360868.58752003114,90009.43575725597,381929.87968592346,373101.56434331473,72971.8993003427,58020.05375549031,78953.68108919321,61608.89421766445,47793.84581545385,364085.5211287092,511519.7089939049,1204444.387731745,381574.4018827669,373209.9694851568,388366.27357301203,46203.04167025649,370133.24799883185,357820.9196299288,71923.43061067746,284142.67492328485,138252.7064449853,49042.71251118962,44761.59034349402,356398.9972192514,359755.7563020721,357248.4479638691,400372.6678562284,385114.10184101475,388672.84745647496,241350.88595078897,366797.67626542225,394617.3522868221,76794.74125544305,54281.072317989434,83394.08686371784,97129.20693800854,41783.54196577973,365691.1957882762,1089450.9862967634,360177.38655041193,374466.3442007165,358485.10206459893,361837.9689102028,42685.51460602871
generators,lignite,154123.73073930605,2306.3854982986204,0.002261411205991277,0.0009728343970565605,167.10570293962536,26.663514829781533,69.75237309283592,155959.26547987436,83703.6422957341,50870.06618343222,13273.689830101053,1658.5540160697863,76.181349363484,0.0002808347042116963,152248.74122558,14618.44609157475,0.5120805982389878,2.2659999216314763,209.1988760265018,26.75842074544936,44.13017150163775,152856.0037634365,83165.03163488573,50918.733812834755,33453.89922988453,5919.59021947327,81.32167225215059,0.0005762403727085537,153041.6056855862,15073.708756409616,0.7613077925784514,2.260493764652367,212.93943040819846,27.418122471445535,40.77605918681769,152158.66529897967,83048.06123154938,50699.76510363969,41960.727241512745,8408.636633682769,90.61493215080999,0.000260079424954093,152373.90644108888,15450.884841938881,2.0226722125132484,2.273853998206464,211.41568556684166,27.75321424795183,39.00156774727559,153299.4160467615,82601.52615517506,50022.31286145577,41878.08229222912,10714.300419379766,89.06035781610602,0.0004337477334728397,151688.4598396442,16240.419228933639,0.8554656227653782,2.2614032293564614,207.7451387321548,27.011997214348686,37.77537322144642,151812.0656423045,81729.31821587904,49066.67667046442,41065.551163194374,12827.291247840161,80.26133656544323,0.0002517347919484285,135370.04306933403,16687.72466076706,2.9745857624288545,11.857281968584516,304.68710160029127,73.0130513392272,78.46162128507608,135935.69108326826,69773.50588951369,39590.54941207696,32892.71281242789,14089.022606728427,81.31973375289765,0.00030437757908423064,8983.695128964348,8655.69923659865,38.43530512588842,114.40001297551834,315.7209162030841,72.02791206715756,74.22798899344207,8899.404687260907,8656.580747593613,6066.520529212144,4566.080793911477,1355.5917477334062,81.31942652896994,0.00015074417346431333
generators,offwind,3779.507833030538,3779.507833030538,3754.4782442661585,3567.5572753737715,2983.6259474460408,1483.7481379453213,,3779.507833030538,3779.507833030538,3754.4782442661585,3567.5572753737715,2983.6259474460408,1483.7481379453213,,3779.507833030538,3779.507833030538,3754.4782442661585,3567.5572753737715,2983.6259474460408,1483.7481379453213,,3779.507833030538,3779.507833030538,3754.4782442661585,3567.5572753737715,2983.6259474460408,1483.7481379453213,,3779.507833030538,3779.507833030538,3754.4782442661585,3567.5572753737715,2983.6259474460408,1483.7481379453213,,3779.507833030538,3779.507833030538,3754.4782442661585,3567.5572753737715,2983.6259474460408,1483.7481379453213,,3779.507833030538,3779.507833030538,3754.4782442661585,3567.5572753737715,2983.6259474460408,1483.7481379453213,,3779.507833030538,3779.507833030538,3754.4782442661585,3567.5572753737715,2983.6259474460408,1483.7481379453213,,3779.507833030538,3779.507833030538,3754.4782442661585,3567.5572753737715,2983.6259474460408,1483.7481379453213,,3779.507833030538,3779.507833030538,3754.4782442661585,3567.5572753737715,2983.6259474460408,1483.7481379453213,,3779.507833030538,3779.507833030538,3754.4782442661585,3567.5572753737715,2983.6259474460408,1483.7481379453213,,3779.507833030538,3779.507833030538,3754.4782442661585,3567.5572753737715,2983.6259474460408,1483.7481379453213,,3779.507833030538,3779.507833030538,3754.4782442661585,3567.5572753737715,2983.6259474460408,1483.7481379453213,,3779.507833030538,3779.507833030538,3754.4782442661585,3567.5572753737715,2983.6259474460408,1483.7481379453213,
generators,offwind-ac,1.711055130394932,6005.457567787931,132450.05977020515,257274.62035584947,262564.24667561403,262564.01657062524,262564.0243928387,1.3949671564390296,1.040553822418166,11.911363001741059,16989.131896149163,21389.111241263832,30544.79030638019,190579.17062339702,238.41053997371378,15250.392393204378,130499.60333910021,258221.96616179837,260069.6668525992,260069.18573443595,259832.04555786142,239.12128416032863,3763.1291445031475,9425.65622191169,18751.283076720694,27379.587531201047,29502.568978865685,190580.60237059428,117.01833022111244,15199.066333704563,130495.85907710208,258263.0919720525,260126.044668199,260125.53232846936,260009.62607236515,116.87681494748074,3908.587674801968,11195.429469442608,14632.38004147164,30724.767695404036,32337.018012979574,190606.74381180378,8.289061244772238,15214.01113477928,130441.5567700233,258341.30764578964,260208.11132616343,260207.6497841645,260207.6239865427,7.006405401867054,3908.700341089348,13056.667622479077,14808.725716685238,30590.231519636018,32781.32805409236,189843.0141840521,2571.861270510304,14607.95465605224,130177.52216101183,258157.47829054625,260077.3329263625,260076.84315715,257506.8836362831,2571.1140408361034,4914.419422709074,15083.20028000971,15619.093391944483,30800.349748719927,32657.24024428302,190156.3733297763,3909.2369431801903,13814.184142067044,131646.35922774463,258955.53460424265,259789.7872032543,259788.22859595632,255880.8249316254,3909.2385199215605,4778.071657713695,14450.375348531958,16791.607270798555,21363.09477203388,26004.100447745026,189567.15795078434,9058.454210348285,13421.68659711495,130762.88260067823,257987.28000531215,258812.44537262595,258811.55174776434,253963.77456723238,9059.109377230938,13423.000603775094,13924.970989947262,16373.993541334556,18550.9583736108,21044.763801017405,190145.8180045594
generators,offwind-dc,1.227009628904624,87857.63294078324,312698.8359471842,471939.2767509468,471970.3241182006,471952.222204554,471952.22510787845,1.0100713553953289,0.6749257061266495,41615.62725777523,88271.57393083762,104567.27045577772,113840.65952562784,249060.40883062987,304.2523822212657,98330.41434748725,295755.3725132764,463261.3195441649,463256.99079866963,463238.9094810498,462935.348082134,304.62585320326247,40409.27715460505,79851.69580856296,109514.26968478948,114525.46482445669,118715.77946175008,252312.47713831862,300.07218019986846,98059.74485141605,295663.0871236364,462970.36717439524,462965.91740053345,462946.7202748853,462647.2759360797,300.0965069207867,42112.89963321906,82879.68126028035,99827.03029922333,114046.37484215022,117622.47074306062,252675.62332971298,296.50503954992774,97888.83800633976,295573.6572877978,462655.82967260474,462651.18200971634,462633.07164387684,462337.5601354304,296.87883868414303,47784.36703574513,84546.56374542463,100736.70758017512,113309.43126701967,116821.66589223042,253544.40416634956,28074.424774224324,96244.61397534591,295213.6182074571,462565.54849086754,462564.6161846226,462546.59123653435,446646.0972247784,28075.00057481292,65880.43482157507,92293.33717631268,106799.17536754382,113727.67853209842,116747.95883856929,253089.89387294702,58186.47821272392,93508.3372078215,292846.10688577587,461106.405944337,461105.7978461246,461087.12841135147,436036.3284261714,58187.25135825691,81981.41032332853,101386.59569295646,108685.43409125957,112224.90626664441,114655.91180630134,256037.87098325219,94296.36191956264,95500.88547148847,294220.14092075214,462391.7194911385,462390.9797119509,462372.9331498102,421526.7803035555,94295.04517234639,95499.9590275174,108650.78124458333,112991.89187139878,113710.19651918324,116483.87060823382,253093.5406431428
