cluster,,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m
lv,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
opt,,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c10
planning_horizon,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
,carrier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generators,coal,0.9077694874932881,0.9973593686690451,0.9911053626865047,0.9897254701803848,0.989573015359367,0.9936934043449811,0.9985376717647179,0.8956027449272744,0.955831537147339,0.9929506548777258,0.993359748332892,0.9997276994488722,0.9268030033580256,0.9649682671775319,0.9701637056497248,0.9248591885100826,0.9997916241849204,0.9378248867634111,0.9993342179406262,0.9851813430617425,0.9998866151900435,0.9632562507903796,0.9953010496833773,0.9907552093002131,0.994993577062625,0.997735623356765,0.9386797007777932,0.7176901916915325,0.8497101972426605,0.9993278118893082,0.9208581294101981,0.9997569581750568,0.9783933637505372,0.9992291656113126,0.980853472359628,0.9662850986624938,0.9967605102206987,0.9876061636075064,0.9968877233125463,0.9984332560115581,0.8926048703541569,0.9939012014222303,0.84056339557603,0.9996787785969748,0.9830987504851296,0.9733467249619272,0.9923584742523058,0.9985245283911631,0.9961344971350868,0.8242602157209207,0.983501976157835,0.9197340800129551,0.9950427599857565,0.9131176477600783,0.9655706418888061,0.8129696828675509,0.937945034538379,0.981639885423254,0.963067518720531,0.9568814809095608,0.9372206930857995,0.9984607581386412,0.9896189398783386,0.8723376972388712,0.8975420800453807,0.9915952764000703,0.9930235530093492,0.9982830702588372,0.9783761794684731,0.9859049304356826,0.888702867933598,0.8775713870257972,0.9999815167765583,0.9998943591681013,0.9999053709769125,0.9998587297128263,0.9781277749200896,0.8848287395068648,0.998538920825979,0.9987286686476338,0.9997856640289309,0.9605978850713593,0.9483454774620905,0.9776382643000934,0.8642419905314899,0.9669123181045143,0.9544818349718989,0.999742658763309,0.9997415007582908,0.1395132443206747,0.8616708526232196,0.8656642380305765,0.9637038345815857,0.927245152852941,0.9090848132910846,0.9992557315087375,0.9868538477668843,0.9944256438452864
generators,gas,0.5998820921473466,0.10334877755446714,0.7709674568716369,0.49883586934945523,0.9805917995028653,0.9913208802506022,0.9967646957145057,0.7402337261878843,0.9137989992805131,0.6368363882193935,0.5953592987346709,0.7757952503324179,0.9582583391798669,0.9926763048342766,0.9346470130462996,0.9760960807279092,0.9560543534841682,0.9653281245184968,0.7433105315889856,0.995691594558193,0.7100271335441496,0.9829137827876593,0.8896815248208484,0.9228681433193865,0.8836858945774033,0.7856501092939511,0.7814905518736318,0.883089896642015,0.9830265283639933,0.9783759508460543,0.9504117713723436,0.5414849474399088,0.9056271493986281,0.2928520002651561,0.09441127620010938,0.9683265691898293,0.22569885790482114,0.6259567083593268,0.8755769252388685,0.800815950804743,0.907301765518114,0.911577066526113,0.9839988796447666,0.9608120563998355,0.09902267204207689,0.7829614205095757,0.9715957463098034,0.1797870445955402,0.9945801740397652,0.9632588859728938,0.9638842173764084,0.4877601350973992,0.938617491694421,0.9667977932462976,0.9249717300405221,0.4352927667938723,0.9265608543144863,0.9484851106457329,0.9466103374110874,0.9337856529443875,0.5946904968002787,0.7900015340058207,0.8536858923063984,0.9719729489397972,0.6918233267372008,0.2938125602339822,0.9274240514335815,0.9482095448696867,0.8595883952166282,0.8502434993775134,0.9560915585753891,0.9889896194253112,0.9465758650340202,0.18814850034086075,0.3331656758823063,0.9916066383998977,0.9128150248660769,0.992935657458425,0.9836709199424464,0.9905746996161512,0.8838796777140323,0.9188997396889768,0.858966303749865,0.1679100810940568,0.964786021713363,0.8967706970152376,0.8812049688272797,0.9791460319170632,0.5510339875154372,0.49965132602062456,0.9801203771082577,0.9677052040075765,0.32482528862574606,0.9825194197819883,0.9450282621021358,0.9871574096424144,0.9229719654877263,0.9586406228379493
generators,lignite,0.9860068808739486,0.9993905301981474,0.9983790859138172,0.9892660512946678,0.9996360668638014,0.9999714576488082,0.9992661540818761,0.974402670165156,0.9959786317060482,0.9992949409464056,0.995962016196299,0.9999103517589509,0.9999856800117722,0.9860361832801344,0.9981063023701434,0.9995074640905856,0.9999827089129926,0.9973227611021254,0.9995762677669101,0.9998438501788223,0.9999284150393375,0.9941403238637951,0.9996987321865648,0.9990152724443855,0.999493967476801,0.9994679148301524,0.9999721546216234,0.9999542187643482,0.9929831737208787,0.9984237769685047,0.9879345077039419,0.9999337355702478,0.9998776293240285,0.9999507479811968,0.9998677981455412,0.9987451622881691,0.9992771463888844,0.9987988673429026,0.9987157025362466,0.9993827424003789,0.9999698766040412,0.9921138548154952,0.9973692730043257,0.9993957602169228,0.9873457030348012,0.9939503432110735,0.9980432025976046,0.9999463824961237,0.9941951729815958,0.9913476698981979,0.9992546468601938,0.9994532104576905,0.9994265846011784,0.9993701770057607,0.999971376455615,0.9911671221161784,0.9985928363054429,0.9984042259385421,0.9910110533440846,0.9998865154103946,0.9998543352420707,0.9999987824442149,0.9993693576216073,0.9977790482602422,0.9977858514561099,0.9994638836831838,0.999484190380434,0.9991704058835925,0.9999719551007225,0.9900990581144612,0.9919177937703527,0.994510181697698,0.9997937157145771,0.9999527131820547,0.999807336447858,0.9999408988640395,0.9774488702799002,0.9877923992838146,0.9948477849356923,0.9953221396700107,0.9994186525968518,0.9992596479889626,0.9999874219169077,0.9990466833983067,0.9875382345999963,0.9994115527114831,0.9992810242039994,0.99997746989011,0.9999947604933266,0.9999935095209983,0.9999690196484547,0.9968980675809596,0.9993049412411094,0.9855627959820241,0.9819867691961427,0.9999919992702451,0.999987227312894,0.9913848541292377
generators,offwind,0.4554743498408037,0.44107646175917686,0.4247481304904908,0.43898460929649163,0.45494355794451924,0.4438856750760256,,0.455478472095384,0.4589675040020743,0.4581855495272847,0.43740325594869917,0.4354893722563244,0.4379916597407125,,0.44744610731375545,0.42966953291057347,0.4250261321092134,0.4380309977059824,0.4537846511767279,0.44239247865664505,,0.44744058829453454,0.4411275007709952,0.4410372794473736,0.4338102680969932,0.4413546099538459,0.4428085036630541,,0.4474597782353482,0.42955813767871,0.4250281042915672,0.4380089330049066,0.4537772962726345,0.44237980307880154,,0.4474581012897862,0.43843855934297854,0.4410663739316326,0.43703386174725034,0.442301546546443,0.4436155498750118,,0.447387352778755,0.42940774994326797,0.42502859952663596,0.43802957795876635,0.4537809392430885,0.4423747505756509,,0.4473765803504029,0.4342914055792043,0.4407640442996327,0.43718604744340667,0.44289945525466257,0.44395855771553455,,0.4400850282510109,0.4314152309830605,0.4250378846318747,0.438151749144588,0.45374968987477965,0.4423321246527354,,0.44008972960564285,0.4340484307458587,0.4399469373883398,0.43608112783349806,0.4426394210870618,0.44394533328237346,,0.4295430505635212,0.4304326761761922,0.4246994688252355,0.43818150094445596,0.4535643543887669,0.4431838189551475,,0.42954436766136006,0.4278234571264483,0.4373448428817416,0.43717936227446813,0.4445031157022389,0.445269208552044,,0.4259149867907687,0.43454779126551857,0.42512586085785586,0.43822097036170204,0.4533193210653314,0.44301197634153283,,0.42591821874341446,0.4345498826896098,0.43741920849795957,0.43699958287260304,0.44495450346950904,0.4452927853178301,
generators,offwind-ac,0.34964238422681426,0.5033230831314719,0.45877442986130995,0.47308187352016656,0.4729648493592163,0.47297356542596825,0.472976749887548,0.3536479673742379,0.3252895898007492,0.4743613030037135,0.49118076378031506,0.48650065287028815,0.46054079073175797,0.4802096733135366,0.5316404848546795,0.488631763843293,0.4578578664241922,0.47325985037770746,0.4732506842223704,0.4732560275973391,0.47320945513242363,0.5310479787679312,0.5066647248643444,0.49203676612005337,0.48693196964134394,0.4763526397407636,0.4715904088774559,0.4805505707407762,0.5310593150396986,0.4886960706742261,0.45750770053866885,0.47305216800754335,0.473228268811356,0.47321121971117364,0.4732090128940197,0.5306786997269912,0.5070194649951892,0.47362913696317444,0.4789718646346397,0.47864158446341887,0.4716869680201607,0.48046477103542506,0.5040976033238588,0.48877905075141254,0.4578204492859937,0.4730981403266209,0.47317432426572004,0.4731679728300273,0.47318471322460537,0.4892942068229091,0.5070199184424972,0.47357849795615464,0.47628861367055564,0.4771793330636695,0.4720903016624773,0.480278238535092,0.5290762138844827,0.490461155130392,0.4570947297585414,0.47297646252359793,0.47305938079353393,0.4730826544853363,0.47254122355372463,0.5291281811047841,0.49144814049669594,0.4740412366181138,0.4752982169399738,0.4762482896470443,0.4724982502528914,0.48050416168947263,0.5069858778530926,0.4903586659831382,0.4570980816243844,0.472640131477144,0.47277197564008644,0.47278518402035064,0.4723061749103266,0.5069879348708837,0.5049858643873304,0.4734198775738992,0.47851406711499583,0.47513114290639336,0.4768250885278287,0.48016158044882273,0.4949587211275987,0.4938510224883664,0.4571284238686611,0.4728374525550454,0.47298328858974625,0.47296582307608603,0.4728017997345662,0.4949645819597151,0.4938358549619835,0.4936739568921106,0.4966138663687604,0.49524980759254195,0.49482578497068397,0.47984226557511955
generators,offwind-dc,0.4440685528655011,0.5435391780988269,0.5460418436379857,0.547620864597858,0.5476558043563802,0.547690169986146,0.5477293759491616,0.44963518899950516,0.41494408430653595,0.5636501415480537,0.5501647867283054,0.5438341893248162,0.5440652827132488,0.5425790822461438,0.6079585238050658,0.5321968871006258,0.5444446084889473,0.5474777463323227,0.5475399204848265,0.5475016953720436,0.5475667090954621,0.607658577738267,0.5591147938332662,0.5429265875370746,0.536649569622705,0.5371861611578695,0.537600327515747,0.5419852060494266,0.607991573081256,0.5321483416103545,0.5446124424045949,0.5474742167141368,0.5475451386276062,0.5475890112971624,0.5475944405723625,0.6078963665863558,0.5598475170653238,0.5424869699382415,0.5386714292547653,0.5373017279527665,0.5376833836188563,0.5420092079682345,0.6077810306088577,0.5321730088719042,0.5444207682746534,0.5471841940709437,0.5473491925706112,0.5475058834729934,0.547569883934755,0.6076427704504409,0.5602204733363558,0.5417014977995188,0.5381432743882434,0.5371286550518103,0.5374510254309718,0.5422054373568951,0.5643103244654323,0.5315193425439945,0.5448479610269209,0.5474026741160547,0.5475146761515239,0.5475537890989898,0.547006574733262,0.5643126706540795,0.5531123550219441,0.5392434275948335,0.5372756098831747,0.537164172603482,0.5375243427582432,0.5407769623457889,0.5500606595934976,0.5318310918193783,0.5450456565637474,0.5475390302115511,0.5476610294413491,0.5477197211667946,0.5484953266861374,0.5500592718114958,0.5435776091418427,0.5362278400064263,0.5356484194727322,0.5358448990274566,0.5358539972908256,0.5411794670822193,0.529294514212362,0.5292679752950268,0.5432762857789224,0.546894021352821,0.5472877536188353,0.5473516512899624,0.5522320008729179,0.529297316660988,0.5292689950407964,0.5330833091180452,0.5338196505990377,0.534731433932619,0.5347237459705945,0.5420718266861093
