cluster,lv,opt,planning_horizon,0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,2020,695932413876.6486,695932413876.6486,695932413876.6486,695932413876.6486,695932413876.6486,695932413876.6486,695932413876.6486,695932413876.6486,695932413876.6486,695932413876.6486
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,2025,692889771913.8573,659260843269.7015,627571614238.4037,597692803862.833,569504885532.3038,542897266772.8694,517767544957.928,494020831280.1714,471569136161.12085,450330810011.91754
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,2030,866996258690.195,784880402759.8566,711238906814.6216,645126640329.6008,585711606877.1187,532260493980.16327,484126182457.5532,440736934388.6091,401587021219.0826,366228589208.86865
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,2035,956802626616.093,824141439950.1852,710918445267.462,614135197194.0997,531278534662.7401,460238422900.6909,399240306106.88873,346789303600.35754,301624091330.29895,262678719034.42844
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,2040,928744486907.6982,761147408601.4528,625018415471.0325,514223304235.0201,423866860181.0904,350034029391.7925,289586921087.2113,240005224175.56528,199260464802.44684,165716705179.31558
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,2045,890556897848.2003,694428165632.4651,542821921200.3771,425334934156.68695,334062855746.0269,262983920289.13412,207498537584.428,164084375965.28784,130037252429.53769,103275955881.70688
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,2050,834022801595.1774,618780630460.4856,460439709506.166,343606351391.5748,257144799247.28537,192974067953.90286,145211819168.1903,109563171086.75272,82882961308.24078,62861246112.922005
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,2020,695931842434.5232,695931842434.5232,695931842434.5232,695931842434.5232,695931842434.5232,695931842434.5232,695931842434.5232,695931842434.5232,695931842434.5232,695931842434.5232
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,2025,655453342216.9745,623641364946.6151,593664286451.9053,565399810750.3218,538734869184.1451,513564844526.20483,489792866904.0068,467329174297.082,446090531152.487,425999699360.962
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,2030,627216024582.8108,567810484829.2122,514535599420.96234,466707627217.7842,423724672321.50824,385056230324.5341,350234152124.50574,318844822112.22345,290522378209.12115,264942827041.9313
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,2035,608487438456.9807,524120335554.5859,452115129786.51904,390564932214.43787,337871474922.08984,292692861871.3845,253900547964.56552,220543850071.10782,191820617549.5056,167052949517.61572
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,2040,605031839969.362,495850498824.89014,407169083917.00244,334991460301.78217,276128633798.1661,228030137287.7528,188651787619.03198,156351724755.52258,129808496687.80458,107956369552.33542
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,2045,596919987513.1726,465459369255.0153,363841159624.6335,285092310439.8913,223914716917.4174,176272126794.4333,139081539610.97147,109982016745.88745,87161005977.31592,69223518951.20299
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,2050,708605885780.2898,525730946339.2422,391200681299.1223,291936242656.5201,218476422821.90463,163955421954.36768,123375463537.25223,93087512413.73108,70419362757.93428,53408430678.278786
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained,2020,700608346241.6128,700608346241.6128,700608346241.6128,700608346241.6128,700608346241.6128,700608346241.6128,700608346241.6128,700608346241.6128,700608346241.6128,700608346241.6128
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained,2025,698858484149.065,664939868160.7001,632977660804.84,602841467468.3844,574410731910.8672,547573908989.275,522227713957.17255,498276440613.1895,475631341416.33295,454210063429.36194
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained,2030,868234752963.5643,786001595468.9998,712254903486.1853,646048196382.0494,586548289231.5029,533020822029.01904,484817751191.042,441366522075.7893,402160683701.5374,366751742574.21826
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained,2035,958756640976.535,825824529193.359,712370306719.8795,615389404656.7343,532363529474.88556,461178337217.9788,400055648027.6767,347497528327.6238,302240078148.8125,263215170309.6419
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained,2040,931422344919.2543,763342032327.1719,626820537146.9435,515705969289.1723,425088999621.3451,351043285912.97516,290421889873.1443,240697233572.5887,199834994438.5088,166194517767.0281
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained,2045,890606171959.1655,694466588029.2523,542851955292.12823,425358467746.50433,334081339292.9661,262998471070.6751,207510018384.80222,164093454679.70633,130044447331.98727,103281670093.70439
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained,2050,831721443805.4495,617073200374.2585,459169196865.3301,342658222453.29816,256435247679.0262,192441585660.07135,144811129462.1486,109260848348.3749,82654258509.85492,62687790161.67309
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained,2020,700609434021.1117,700609434021.1117,700609434021.1117,700609434021.1117,700609434021.1117,700609434021.1117,700609434021.1117,700609434021.1117,700609434021.1117,700609434021.1117
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained,2025,671767051191.3113,639163299273.299,608440115292.5609,579472159417.4714,552143548801.9358,526347062379.7491,501983419264.83826,478960623331.90283,457193367361.71936,436602490850.32043
