cluster,,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m
lv,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
opt,,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c10
planning_horizon,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
generators,coal,1921544041.2187338,2528643.3030664744,466257.34707207204,1781507.6966633725,5179660.925042423,3635499.5683860295,2877142.962626695,1921559189.9807339,1687669526.3720884,764248040.5078818,34706324.99437139,9302630.96523423,5304413.7884192495,71.96186088954687,2487073424.103364,33748323.65604235,1747941.0375217798,3911438.7917113747,5359584.6942514945,3909985.8210934005,2970685.582768123,2487073272.6560597,1694255990.7845168,1251190366.767469,744582804.8243885,152450532.78795817,22399295.58287458,65053.04373160664,2484643154.4683576,28152983.821935553,1725219.6006508511,3842870.924772223,5282839.989989786,3751054.936481644,2971165.027360848,2484642666.123042,1603765514.061529,905529439.4277858,648716288.4027054,67198314.38197121,8234922.450407466,70.44700115619034,2480892452.223397,22595382.182549976,1692106.922467854,3705276.716605335,5180927.629048979,3584518.567053032,2956911.021315075,2480904147.5761843,1433536743.8219564,713744591.6975161,528934080.38981456,42858557.27801828,5868008.84769013,93.36220735694455,1616669757.3269994,12866959.813517729,1314525.5971240886,3020592.2482283413,5112836.177872939,3468142.955885565,2915230.2077847696,1616691262.6280065,1118090506.084592,562763980.3639117,425834862.0987125,20579366.00574122,5744879.061717341,63.478484661237395,5460031.312297488,2091556.8574717822,915718.2801525441,2129598.152489048,3887360.6629869156,2932987.955120059,2204387.3013879233,5459945.178787404,16603842.681808798,20264813.39837828,10873554.595480394,7240187.1495719785,5621687.394350878,56.717622983148296,237246.62197097106,999500.5524118186,101786.00935089072,159261.21177819304,2516849.622144817,2574326.9970627776,1746845.6677445984,237126.42148529843,999521.3790785853,3163654.637303485,4387593.239148173,5575018.577209356,5057866.162000501,33.062533820184264
generators,gas,4125419782.3241525,4183411171.6987467,708037445.3737692,556256272.0458926,483986966.32433987,428968813.8863347,356907161.24833226,4125395466.2982326,4780386470.863249,4809113592.861925,4691639944.300601,4128009628.224049,2927091989.2758327,345252493.2047787,3099999981.9067574,3099999995.09221,608392927.0192412,477382133.3442361,412883926.2236339,426441986.9806748,357207400.31054515,3099999957.5420547,3099999900.228517,3099999739.831768,3099999908.622183,3099999863.3352876,2896064331.6928,348235115.2926428,3099999946.887408,3099997751.1361947,607617514.1524407,476418477.7319483,412324067.64593434,426463308.62941086,357266857.9210989,3099999981.604644,3099996935.126196,3099994308.907211,3099997321.778121,3099999041.451193,2919976862.637965,345173914.0664537,3099999936.344008,3099999860.429038,606327323.4693712,475035704.7577835,411260538.9983125,426459405.1496488,357326926.62602854,3099999962.6207104,3099999984.6482186,3099999826.7617793,3099999969.849541,3099999859.722793,2924028797.4293838,343220797.4361808,3099999974.3437543,3099999999.995196,605105358.9516537,474601853.512266,411308313.56081414,426359019.43752843,357416163.5466691,3099999992.1067314,3099999896.8859935,3099996589.5576935,3099999992.804955,3099999796.48363,2924395842.666322,344126401.8848496,3099999959.887632,3099999094.1144266,596389415.867483,468318519.1661928,403494853.9352432,426008254.5912032,357925297.2933892,3099999948.163642,3099999975.624744,3099999960.5040827,3099999878.161167,3099999731.8866143,2924586261.333181,355001162.2493662,3099999932.714521,3099999995.8455544,592805910.349131,465586085.93885434,402548071.6847741,425129256.48711014,358747411.95774865,3099999953.4428487,3099999584.150867,3099999985.2244353,3099999999.447517,3099999528.8055058,2925544799.853472,358459798.3787971
generators,lignite,1331231436.9706924,20191623.275637217,19.777851917764423,8.430554292648422,1463313.2157008064,233565.7232037042,610582.3858434057,1331232012.5523317,730295262.7132553,445307590.0965628,115807996.15743332,14527630.687467333,667339.06399973,2.425759455691921,1331173350.551704,127994514.80174924,4485.748475765168,19797.015694848615,1831805.6298637213,234367.16362403464,386552.6290186098,1331172377.6725519,728306195.7838196,445608872.3371576,292907861.3070942,51828018.721359774,712358.0124980883,5.047634567399391,1331237396.487114,131837555.25040008,6588.5908160241825,19800.61321506152,1865121.1463075508,240170.92336440313,357151.0562016983,1331237322.4000065,726975139.6515843,443596483.3301824,367103893.74882704,73614189.92804748,793762.8940868452,2.260328791440762,1331283938.0777233,135267967.51107085,17494.392046814115,19798.45814649965,1848377.414025891,243105.12142334238,339670.49264317204,1331283645.5176673,723050039.5111303,437955859.9709736,366641642.2935331,93798158.20589022,780146.4032746903,3.7660684761456427,1326921081.8716135,142039047.9372241,7426.516778147396,19807.64417166597,1819582.3276604589,236624.80749344046,330703.58211924415,1326920109.7299573,714363610.5170332,429593651.9265269,359548673.81419575,112273852.26982592,703069.5902444476,2.183363252328344,1176257361.1040418,145381941.860225,26051.996052662475,103864.87837294843,2668544.7796288133,639556.5289801904,671823.8742283394,1176259883.8045838,608066795.7648906,345190869.0794884,287972654.7006478,123328463.90964994,712351.9075411973,2.663805719351779,77716463.6678964,75779306.92934898,336451.1985888888,1002121.5352485324,2765700.734955639,630960.4144463987,650217.0390060176,77716962.17767769,75778939.89822914,52375487.54755743,39278358.9179068,11874888.701609155,712349.0776656835,1.3091424960857747
generators,offwind,15080067.327198008,14603375.013533633,13969638.709320815,13719059.973253842,11890661.099974593,5769463.404166779,,15080203.808816845,15195720.381985083,15069369.655226972,13669639.831959944,11382195.544292381,5692855.151884556,,14814264.350873923,14225708.839590749,13978781.96833805,13689257.892897634,11860371.25987985,5750055.384082838,,14814081.624488875,14605064.838075453,14505376.266416572,13557352.487991981,11535492.700641027,5755462.724721359,,14814716.97442586,14222020.71182457,13978846.831895933,13688568.331234345,11860179.027963461,5749890.6315652365,,14814661.453292813,14516038.051413244,14506333.16158422,13658095.597615216,11560242.368834175,5765952.415754,,14812319.077020658,14217041.60119751,13978863.119795725,13689213.52323912,11860274.242691308,5749824.960980074,,14811962.41819917,14378732.058230944,14496389.772956979,13662851.674818,11575869.647633946,5770410.706017355,,14570550.148513662,14283506.264353001,13979168.499752106,13693031.592915818,11859457.491598453,5749270.92484839,,14570705.803259978,14370687.52872682,14469515.756290976,13628320.946239015,11569073.248152379,5770238.819679398,,14221521.200243073,14250975.359713873,13968038.26464827,13693961.390266486,11854613.458936602,5760340.935405647,,14221564.807361873,14164588.060505278,14383934.873091528,13662642.751243781,11617783.820433132,5787446.065483702,,14101401.492119884,14387220.60080793,13982061.970031897,13695194.880668739,11848209.129968118,5758107.388061816,,14101508.49718727,14387289.844698649,14386380.70090428,13657024.321021134,11629581.545385044,5787752.507648946,
generators,offwind-ac,5240.734783132905,26478724.267236013,532298777.74806994,1066196764.4065008,1087848856.1341794,1087867950.2529519,1087875307.1177456,4321.547142993513,2965.0964162856603,49496.53754473159,73099876.67906386,91154953.26874493,123227987.67261992,801697340.6851338,1110318.568778958,65277996.937289625,523412364.7974236,1070525340.2529383,1078164574.5832543,1078174753.3325064,1077085630.9703572,1112387.5017915145,16702208.383427264,40626859.996461734,79984049.00820613,114250887.84858797,121879006.2528647,802272487.0338763,544378.586818184,65066862.19793732,522997057.245765,1070225980.425707,1078347220.649838,1078306246.977078,1077820750.830629,543330.556976756,17359955.078260407,46449738.794487156,61394445.567955546,128825887.06990817,133615841.8366755,802239271.584512,36603.62414789861,65141899.70427063,523136794.2239047,1070654139.8189107,1078564463.8680983,1078548073.1899724,1078586124.6299713,30030.975706367823,17360471.010640252,54166207.67886567,61786272.390409105,127869950.16727567,135567544.15758902,798714623.6264584,11919825.063066507,62762196.5967699,521250303.5803406,1069617119.0974652,1077760513.3557909,1077811507.5791306,1065939732.5148839,11917532.32756346,21156996.833342295,62634516.07695561,65031850.61723298,128497057.66202167,135171082.53196523,800409335.9089943,17361688.608755775,59339406.990132794,527135612.7211291,1072160734.59745,1075914859.0974736,1075938463.0564075,1058681860.4296695,17361766.053802855,21136641.740494356,59927991.57277426,70386777.72767656,88916379.52307351,108618809.68320335,797360307.5864801,39275993.583398744,58064027.56965169,523632770.51223207,1068597782.8392174,1072346303.0930164,1072303002.8832681,1051852880.0210755,39279299.38385724,58067928.658847526,60219704.82716434,71232397.62642315,80481261.03104691,91222187.88208298,799262400.884253
generators,offwind-dc,4773.117178675073,418325614.64147365,1495740644.2242978,2263967642.2030807,2264261038.388701,2264316272.9678693,2264478376.1687284,3978.473353126806,2453.294318948103,205480290.74343508,425419866.01748073,498157169.20206606,542565935.3354826,1183782320.0932312,1620361.9834364767,458420790.1058948,1410556381.649285,2221757305.517922,2221988856.136066,2221747013.535784,2220554749.242078,1621550.5712502508,197918400.06757572,379777612.3380696,514832082.67845076,538928294.4819056,559077583.2185347,1197926758.0173197,1598186.2862481296,457117216.0684009,1410550933.0238261,2220347610.784564,2220613899.824886,2220699742.7060356,2219285347.937256,1598065.5673578505,206532788.11365145,393859649.08951014,471059969.2243824,536789273.00026137,554014356.9945514,1199704026.7906427,1578640.8134209656,456341665.72164,1409627993.2215786,2217663705.874659,2218310138.014149,2218858318.6604385,2217700207.48423,1580271.4130290088,234503279.09706736,401199241.88076293,474886447.41418844,533148863.6091853,550004695.3466824,1204264833.861582,138781944.7208602,448125455.74572915,1409015672.4219623,2218116255.41326,2218565624.4182253,2218637654.7175407,2140228761.4255316,138785368.1241706,319208114.29731274,435972721.23213583,502653986.62620676,535152204.82549125,549732659.8252796,1198939011.9191072,280373371.0455947,435640415.7859043,1398223007.7333295,2211670087.975439,2212159961.1449013,2212307457.4458737,2095075662.4465172,280376389.0909178,390374148.99445045,476248921.27498055,509982505.47845256,526783857.6453068,538204139.0128152,1213806961.8870625,437216392.37006223,442779108.1612215,1400223150.1604097,2215222378.1557274,2216813664.2822585,2216985955.008872,2039157857.2229087,437212602.0051501,442775665.9065589,507378481.7161197,528379480.01639336,532646687.992173,545631418.7382697,1201827130.394219
generators,oil,5134447773.691912,4772649003.591814,2721993251.6849036,795785524.228335,125904239.93614362,0.381717973834364,0.37993548346578077,5134445811.237265,4756265381.567222,4143225521.842428,3381730434.026691,2623618630.2675066,2115332165.109964,3.8814221722587567,5181957816.871005,4791348567.709947,2784232241.8318753,849425591.2305704,175717439.1492412,0.33653728330778543,0.1960451568331927,5181959754.9233675,4811998711.528529,4188592275.714828,3397874955.678772,2623636413.9189086,2116720308.0498042,5.814832805859193,5184920715.087267,4792572895.751521,2784832030.480533,850225743.8399523,176178188.5857837,0.12336440964427586,0.2931675344170126,5184921539.619777,4811199017.376922,4187977126.998494,3405928906.993047,2623619582.860503,2116720367.1409101,3.5071523562890987,5189554028.091223,4794348797.004615,2785812863.5304413,851423293.0962752,177119754.3590545,0.4309721148982319,0.010956411779830129,5189557697.820724,4810865916.770362,4187721715.564448,3406731258.59868,2623618363.884949,2116720122.551104,4.540623387845685,5216851059.656426,4796316927.840761,2787208780.2907176,852606849.5591712,177213825.63122883,0.18179659417707603,0.2625950675516101,5216850389.422804,4816243620.61758,4190551338.267884,3407547292.297895,2623617849.171041,2116720376.9747584,3.0121568831435206,5210190725.2539015,4804826738.34697,2794138959.9215684,858255518.5605005,183255607.12944135,0.36155237148432234,0.6823355046476826,5210189778.785726,4813589389.01315,4193415125.7048187,3408868342.341154,2623627367.960846,2116720361.8972118,3.1755552515549432,5211547359.298262,4817182132.06773,2797347006.0709605,861396688.3619286,185535223.6000615,0.2030626754928278,0.5872352626516381,5211545951.033138,4817182382.643393,4197035037.274229,3410861268.6334157,2623679020.6136866,2116720344.1782875,2.2423765827893503
