cluster,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m
lv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
opt,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c10
planning_horizon,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
line_volume,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015,147027217.8906015
line_volume_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
line_volume_AC,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322,134055166.79151322
line_volume_DC,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274,12972051.099088274
line_volume_shadow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
co2_shadow,17.935254342129365,65.2240265830703,366.95275062129775,366.91733007201833,278.8444628402397,239.4753017246208,219.42752297775021,17.935200716618994,5.858757274032074,12.952889394002527,39.21319187982071,59.46493239063259,99.59729105650872,436.64260258003384,15.445145281586704,56.68405514108968,378.26798885186486,366.1906560282299,278.5122410000689,239.47528941408157,236.6164344025841,15.445147727687983,3.5117718259454384e-05,0.0,25.860086695866187,50.615338540340936,86.7777741596417,436.7014652722322,10.732869451081246,54.95150205749979,378.27514955769317,366.16359044711515,278.6216100554813,239.4753410034064,236.59730909354545,10.732476365493195,1.008663082657606e-05,9.600333889532276e-05,3.4547189004791665,45.124795305464204,83.6852882939238,437.382550805411,3.642967334119211,52.38431511309956,378.1979628067142,366.1326149967486,278.6974500832285,239.475302790613,236.61596725626185,3.643187580430089,2.4325042249771873e-05,1.1084925872146686e-05,1.0765181050319978e-06,40.458362915461564,83.54102291636946,437.33015688746576,3.1561949150794867e-06,48.28061816522661,378.7486019324852,366.15764161385914,279.3277125733934,239.47530270126018,239.36397276594778,6.33815897138579e-05,6.591695976870038e-06,5.3320159667446864e-06,9.429232764322381e-06,35.2069125219448,83.1774223250835,437.4006865616587,0.0,33.04670571029581,380.3646241881284,366.05691533047445,279.4557028048191,239.47530712293934,239.36397160617307,0.0,1.087009068297383e-06,1.1752063470952919e-06,1.207699448483242e-06,18.346641444703447,81.1605392178373,438.00685022071156,2.089541739162144e-06,4.162518488965307e-05,380.5940844833948,366.075403143023,279.00199354260565,239.47530584441628,239.36401682152302,3.3376832987353025e-06,1.1711074045026534e-05,1.0127010326993089e-05,2.816457871084924e-06,3.524766260106822e-05,78.43274386761195,438.37166882376687
