cluster,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m
lv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
opt,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c10
planning_horizon,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
AC,46.536888681909375,59.93862219387825,72.47561759764126,68.06815320965568,61.32551343155139,37.89192002197393,43.34218572871299,46.53689547198098,42.578979218751876,49.08424193240028,53.975404103523175,55.80430617156945,57.29008240755209,62.09522664050654,52.10251366426353,63.849417784280355,73.61926676980255,69.0911045182307,61.87801102158526,38.63529627648654,44.870756257138744,52.10279854006187,57.4295444962007,58.91245708889779,58.19237672204902,57.94659710453791,57.54236578995937,62.125228587179,52.05990207999289,63.92023823312586,73.62811301340636,69.10325319004798,61.887271672439894,38.62422354248702,44.867059531764006,52.059890343772445,57.89120556623928,59.81527114954851,58.54468403322518,57.77017748612031,57.25808816716528,62.097743604476314,52.0049585458679,63.975505108846775,73.64012822201377,69.10840096043951,61.88971663744658,38.61789560969673,44.90341021722522,52.005239587381844,57.98976321088781,60.08476607721539,58.66860759379813,57.58772783203806,57.21008120203608,62.111157117512924,54.01729107285327,63.795321589175714,73.62882699652869,69.09119739835951,61.95938603380332,38.64753155209488,46.678670065807715,54.01703334755677,58.10387034824035,60.21396132661334,58.84874688858476,57.64551634222818,57.16709013475611,62.10793916811052,62.76021845111722,63.91066079395952,73.68076847345765,69.09132708644002,61.99035258111869,38.84655811013587,48.266689155021325,62.76027571238957,62.3249967608197,60.92414070734466,58.90449408948228,56.83552457694439,56.562367942764084,62.14668719538509,67.99279235948316,64.64130947887256,73.69094905804326,69.0233376014235,61.97690740866161,38.84206171626109,50.55886724074173,67.99287250719803,64.64122800709687,61.23345681164864,59.08562133933519,56.60833287415274,56.01650524383545,62.189179171098004
H2,43.496251063587174,56.37053873130592,83.25715844321644,79.02552957126501,69.66518660877355,30.11199620413432,36.44668888554482,43.484605884417334,40.427731699713306,42.34324670835679,49.338070343961704,54.584441697387945,57.62545358314608,62.68787940331952,58.66442624156257,66.84971643648488,82.65477786689407,78.80207818851923,69.62437297171375,30.129023413426633,38.73581257872052,58.674176944034116,63.7313265926478,60.62730446909116,59.35680432832885,58.31464002816972,57.75043185442562,62.64485139460504,58.67711128768826,66.80866810884112,82.65196810796687,78.79610575965012,69.63056817228247,30.119137761748167,38.731146067084666,58.69460532854624,63.86640005468613,61.93879266777438,60.09641362179889,58.04301623297456,57.892729485254506,62.64522334483939,58.68418227300097,66.77288620898312,82.64786272028256,78.7894411437886,69.62824618658337,30.11656022966323,38.73106781623233,58.70746573125157,64.00068080896156,62.359120756587465,60.16250452489582,57.76352358300085,57.82966959984087,62.66525589250654,59.45822173846094,66.81711937502853,82.6408593556254,78.80030456902264,69.6886476173332,30.127017460898042,39.468811917212044,59.423588177538726,63.5583849255379,62.1392418421187,60.13029441021431,57.989158251079395,57.876832519946696,62.649090578161626,66.0713997154985,67.11351206922629,82.58920681559508,78.7852133089598,69.66536792044121,30.23508120787968,39.45169686664705,66.06958569792255,65.95111771796591,62.32803318440488,59.67387302010346,56.81077691097911,57.28564686453328,62.64962757777273,70.07762703315596,66.78799851962371,82.57023393818791,78.77854846688972,69.60683976793084,30.24964686333472,39.71553192376455,70.0704759707903,66.78837254779526,61.93148085850138,59.36830852108891,56.5509616174092,57.11780192612152,62.657323419207
Li ion,,65.36962405266586,79.20402921864837,75.67459986558896,69.09547522267069,44.78872251592347,49.76699898503805,,48.6312822821443,55.52402100806455,60.88964957064293,63.167834199649825,63.84758051659177,69.53455794477739,,70.24114135666824,80.16682420169126,76.61394361157225,69.61311654991225,45.52982846600504,50.98492263521338,,63.95887743818075,64.92201427864772,64.8841307846164,65.0605540875118,63.281136441091554,69.3286782961998,,70.2263930429117,80.17357724124444,76.61729629950919,69.62348102356248,45.53410325506131,50.995708208614715,,64.1957564603022,65.66563452350019,65.29741867330264,64.87751183459955,63.027243429282386,69.31105682357406,,70.16577160598379,80.18776987909227,76.61014467526003,69.62488439441984,45.5210805361523,51.06279778814714,,63.98446842346746,65.92162939636509,65.37503502257245,64.71165225870405,63.019407227114144,69.31788863542302,,69.93874435761568,80.15773914508347,76.60184829438035,69.68086927921549,45.504551141721414,52.817505476144916,,64.16459036367257,66.03651541198167,65.51896807542101,64.75727521461651,63.01298198399171,69.3240422207526,,70.11969974295042,80.31834918252643,76.68076283360459,69.70882074706662,45.79064804361146,54.25806810829496,,68.26064079772674,67.02761803159295,65.61599863129678,64.10732071656915,62.328017086117896,69.50455222937859,,70.56980822900499,80.31740799776611,76.6072509502829,69.65433227138959,45.77304549543844,56.11996299269989,,70.56997807617647,67.30435215679219,65.9843159889289,63.87218179100396,61.75291739092624,69.5489046734734
battery,46.61443939515269,60.06693897329037,73.02176711933294,68.53997838227728,61.65094583876384,38.12144946857626,43.49240241625186,46.607174130472416,42.645059509311906,48.78118404167682,54.08271172380133,56.01178886298779,57.551882069189205,62.29217599529639,52.165968198992715,64.00717768619113,74.13664204131142,69.58192498293802,62.19401078410817,38.874591259188904,45.05460210285354,52.17016927719217,57.40889245193041,58.72525546615725,58.361742429689066,58.29280537053179,57.75017320662772,62.31799643268574,52.13579570851955,64.12776755019092,74.18164373461731,69.61593727723641,62.2023881778105,38.869413708030166,45.04998149446284,52.12112396274469,57.926869076455155,59.809817853810294,58.738073664458476,58.06524558393184,57.466740065023124,62.28609584547503,52.03486243810712,64.16229285404451,74.17979004141458,69.611626949372,62.20486824970658,38.859467698570974,45.071827517443175,52.022084595437384,58.04158378431635,60.101259380136845,58.8574296777776,57.866147562858174,57.42863416226897,62.30168939373306,54.06470347312069,63.991702024745486,74.16535053838697,69.61488798627889,62.27214669773036,38.880655598375895,46.84228958808786,54.05207490040325,58.15955347650733,60.25122186592871,59.026281097464945,57.93577417365175,57.387556471194685,62.296114113107826,62.84242273290349,64.07425181265613,74.21018256008487,69.61397654917072,62.28924917163429,39.073741727369296,48.430872565471134,62.88602355045403,62.44840606349529,60.94242716253081,59.098274072727456,57.06766142760709,56.764810457358315,62.330932932812786,68.13241665349017,64.80504254683797,74.20898068141817,69.50588723236848,62.30553788213709,39.082594182782024,50.713430765728184,68.13722096319222,64.79554427829179,61.22672800334461,59.254282686787654,56.844647383120446,56.16351785428722,62.36745084782714
biogas,49.07766444378857,54.59212754545404,84.45141933922022,84.45624350638931,66.86786909448051,59.01021835258568,58.767296154084804,54.54978699644364,54.68660900747085,52.810909724646756,52.40984035227373,56.210724348656605,57.23721955416167,98.46594413135993,57.06063367205913,56.62937066996477,86.71452743006854,84.31089729038841,66.80142433536209,59.01021853002425,58.97674150097219,57.111147080461244,57.10961818536358,54.70440103755749,56.296954440262695,52.76262730286274,55.704862736019166,98.47771654713058,56.43355942006014,57.143135647256194,86.71596045782147,84.30549113341107,66.82329950180072,59.01021900368362,58.97662317878274,56.88510774423496,56.74264565144748,53.14792846313192,56.111859176007826,56.36181490876042,54.51486123259537,98.6138986903843,49.244021857963766,57.044816059994716,86.70053236902714,84.29927821428124,66.83846618781878,59.01021837352483,58.97656407801565,56.9638159167494,57.17767177605212,56.512531381279416,53.00804833968012,55.25267373349685,56.421454309510594,98.6034554369636,56.65746995982837,56.60302574808262,86.81065405255752,84.30426490392881,66.96452146334578,59.0102185613572,59.01021894477341,56.81756491881767,53.77100868837135,54.822721133404244,56.80718341601514,53.63772483202128,55.437460333807316,98.61752890854599,57.09720198862653,56.99190699534755,87.13382918091305,84.28414391038307,66.99011863293693,59.01021942425455,59.010218710129045,57.311112003675795,55.708327702800325,56.8175275123157,56.915110871286785,55.540628649521835,55.20870003550802,98.73877508515353,57.366832253775776,55.97972614833922,87.17976754683684,84.28785817445328,66.89937967916781,59.01022050078975,59.01022730414249,57.202812591244616,57.20249198711319,53.06942068215878,54.52369466813779,55.92978529442947,55.54038791270966,98.81173310662545
co2,-17.925220675462587,-65.21399291639929,-366.94271695462817,-366.9072964053783,-278.8344291735836,-239.4652680579623,-219.41748931107804,-17.92516704995125,-5.848723607365328,-12.94285572733517,-39.203158213156385,-59.45489872396445,-99.58725738984698,-436.63256891336886,-15.435111614919318,-56.67402147442405,-378.2579551852207,-366.1806223615776,-278.5022073334179,-239.46525574742444,-236.60640073591122,-15.435114061021348,0.009998548948406972,0.010033665855760687,-25.850053029199298,-50.60530487367516,-86.76774049297235,-436.6914316055663,-10.722835784414258,-54.94146839083693,-378.26511589101364,-366.15355678043085,-278.61157638882105,-239.4653073367555,-236.58727542687623,-10.722442698825937,0.010023580035839334,0.009937663327771887,-3.444685233812583,-45.11476163880076,-83.6752546272536,-437.3725171387253,-3.632933667452354,-52.374281446432235,-378.1879291400483,-366.1225813301011,-278.68741641656464,-239.46526912394344,-236.60593358959468,-3.6331539137633846,0.01000934162441707,0.010022581740795058,0.010032590148561822,-40.44832924879701,-83.53098924970256,-437.32012322079424,0.010030510471751363,-48.27058449856104,-378.7385682658137,-366.14760794721093,-279.31767890672245,-239.4652690346033,-239.35393909927828,0.00997028507695313,0.010027074970690058,0.010028334650699336,0.01002423743390251,-35.19687885527701,-83.1673886584176,-437.39065289497853,0.010033119052571416,-33.0366720436287,-380.3545905214479,-366.04688166382306,-279.4456691381408,-239.46527345628797,-239.35393793950786,0.01003355460629844,0.010032579657598038,0.010032491460319225,0.010032458967217724,-18.33660777803732,-81.15050555116768,-437.9968165540351,0.010031577124927143,0.009992041481776731,-380.5840508167183,-366.0653694763383,-278.99195987592407,-239.46527217774454,-239.35398315486694,0.010030328983368234,0.010021955592621116,0.010023539656340326,0.01003085020879604,0.009998419004065775,-78.42271020094621,-438.3616351571208
co2 stored,-13.58814353245294,-19.990879120546595,-212.08529788594635,-192.96731802838605,-139.30655440726073,-154.40152175060055,-194.5337037043544,-13.473204968412343,26.681178617839564,13.521135346641218,-17.488923222778258,-19.990898842240956,-65.38923653480558,-311.20084236354876,-13.40206275012621,-19.322003678182366,-209.18939902277305,-192.2093568894402,-139.9694505276044,-154.40268514555476,-209.32031807175767,-13.757439437011211,0.906013050991792,0.7351426435536427,-18.41283034390292,-19.990836534975813,-50.08691887903611,-311.2470148137708,-9.277884134406916,-19.22459727515984,-209.17557252434744,-192.18682537220982,-140.00445458133714,-154.39914304659632,-209.2991122013826,-9.204358644680296,1.0039064448660828,0.91769922820274,-1.9165750323230284,-19.25740034114903,-46.99441708212421,-311.78118529760053,-2.1945447827939963,-19.167289738731284,-209.15673229109774,-192.16253252566605,-140.01621721668582,-154.3972396531611,-209.30618176074537,-2.466865510773149,1.034126824737991,0.9562097590670905,0.7336432604683922,-19.00853939321158,-46.85016607145465,-311.74007443617586,1.1146703480917342,-18.69168657344983,-209.07876585864275,-192.19547086879726,-140.38690096781286,-154.39474069277517,-212.05229270712653,1.42616176131329,0.9512115302287889,1.2894461773917134,0.36772319814135307,-18.9830303675307,-46.48656509452636,-311.7954054373885,1.522219153503158,-18.29458244267014,-208.72673204722253,-192.11324318759716,-140.46426168757478,-154.3968479792386,-212.47100310739998,1.3240521928874314,0.7477483375860063,0.7981208766092527,0.6840312456652988,-16.36869623076795,-44.46968006747002,-312.270834597166,1.6017850148663555,1.302867983796555,-208.59976867680766,-192.13142005444251,-140.1671021273745,-154.40195185828705,-212.65222636327417,1.675380228665222,0.9499234673905292,1.0436928645567383,1.2092284471434573,0.7957386353382768,-41.5851302176407,-312.5569959337491
