cluster,,,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m
lv,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
opt,,,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c10
planning_horizon,,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
,,carrier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC,generators,offwind,3779.3888356012644,3779.408780135329,3754.38486109009,3567.5315341982932,2983.6211777638023,1483.7455259486603,,3779.422335596535,3779.3996913510114,3754.2412514663442,3566.839896368167,2983.3203943686035,1483.7288119613138,,3779.424753573208,3779.4087629280343,3754.37196421588,3567.5341319573104,2983.6196441339343,1483.7462396549263,,3779.376985724824,3779.40016088235,3754.397933272572,3567.1716584506057,2983.589151114765,1483.7291977112461,,3779.4291619734504,3779.2273502199496,3754.389273651894,3567.5310895537623,2983.6191596900826,1483.7458960878714,,3779.4194939290155,3779.406779495348,3754.3896912436435,3567.383982360656,2983.5758852208387,1483.736649384746,,3779.3926224486145,3779.39508919897,3754.3693440466172,3567.5294281774973,2983.617816688337,1483.745231599888,,3779.3544055364805,3779.399927294289,3754.38685116392,3567.376614690704,2983.569322746551,1483.7326277590698,,3779.409997797937,3779.3835577647437,3754.3871873455764,3567.5196935421354,2983.6197284177256,1483.7462467200626,,3779.4154011834808,3779.3952138719337,3754.3923681544848,3567.175754483888,2983.576936001967,1483.734018738252,,3779.404094134418,3778.5669885928696,3754.3755269919084,3567.5280194445922,2983.621047047833,1483.745681524437,,3779.3958518237655,3779.3672746182715,3754.1898590134733,3567.2024031843252,2983.5541027494273,1483.733236529069,,3779.419683823871,3779.365545385706,3754.3784623328165,3567.5285645628555,2983.621032450876,1483.7464426987083,,3779.4236818410313,3779.357986556475,3754.213436654929,3567.1801178862233,2983.5643687460015,1483.7361663683464,
AC,generators,offwind-ac,1.5412657462773547,6005.360094270585,132443.67819919038,257264.4943662927,262555.4882204777,262555.27825721825,262555.4132635102,1.2601370017658706,0.9132944977469005,11.643215868543928,16989.084047276123,21389.077137156215,30544.75693300325,190576.68348823578,238.3444843964517,15250.37063241542,130493.9306367169,258212.15820501433,260060.90842530943,260060.46933400244,259823.43965788677,238.98367262459362,3763.083077482117,9425.596647737655,18751.25018739091,27379.300339796595,29502.30382736363,190578.13461101745,116.95960583652204,15198.898265584176,130490.37281135395,258253.2256987621,260117.28818532373,260116.82049037958,260001.01822418955,116.79288338122811,3908.5286068334685,11195.365718910753,14632.330575632566,30724.374441443833,32336.678058791265,190604.33649459571,8.201170385083582,15213.97468608327,130435.97640479758,258331.25169726505,260199.3428672505,260198.89575655144,260199.0227620999,6.873366238636112,3908.646762904019,13056.615687333295,14808.69525380162,30589.878674834326,32780.99403669727,189840.64722472813,2571.7419135602013,14607.908233063928,130172.03930945163,258147.323418359,260068.5776770926,260068.11451420997,257498.27753197885,2571.064105123511,4914.362467209489,15083.173142472406,15619.068237286026,30799.936366253653,32656.875398402222,190153.93737800684,3909.164166365635,13813.462164868452,131640.95655364764,258945.47332856015,259781.02937830746,259779.47453421462,255872.20694558523,3909.1669101944626,4777.971076441812,14450.269377806431,16791.591875177746,21363.059301157955,26004.00391295949,189565.15407290298,9058.376726513108,13421.659026726276,130757.5616701184,257977.2664357559,258803.68516925053,258802.84157998872,253955.16196467218,9059.053620222292,13422.96736900059,13924.883615369881,16373.962448118937,18550.94076420125,21044.736505193032,190143.92527159903
AC,generators,offwind-dc,1.1335189198878957,87856.01120205772,312695.57282815274,471936.02200984984,471967.0775943369,471948.97684144747,471948.9801840823,0.9396107817730888,0.6051167138608361,41615.48804455814,88271.32485602135,104566.19885880622,113839.58904213458,249059.29452781702,304.2173307569507,98327.28737108014,295752.0981626898,463258.06640392897,463253.7435626922,463235.6658960818,462932.106290297,304.5541852913329,40408.45437719804,79850.33671934358,109511.83695941843,114523.02978319151,118713.35161285424,252310.03161879713,300.04089451008144,98056.5519296801,295659.8390504416,462967.1121438923,462962.6710775308,462943.47895060823,462644.03311628813,300.05288612999846,42112.060327800704,82878.17022732973,99824.58812860538,114043.92337008701,117620.04518965729,252673.18867055676,296.45853766675293,97885.71842796354,295570.4043353328,462652.5750592148,462647.92916836566,462629.8261735491,462334.3211068221,296.8100413092951,47783.55468691958,84544.9774012579,100734.2512882026,113306.96695999743,116819.20957568754,253541.93945741636,28074.363644789588,96241.52215747656,295210.37207020406,462562.278701377,462561.3706103206,462543.34895293094,446642.8551709392,28074.972936245267,65879.35352472113,92291.66221445196,106796.58861420599,113725.0729768503,116745.37550794763,253087.3034341287,58186.11568751656,93504.8400114075,292842.84210614645,461103.1465250351,461102.5502071486,461083.8824606396,436033.40254360466,58186.89001762389,81979.61019900782,101384.28829730581,108682.71920274175,112222.17910346099,114653.19305043214,256035.470821047,94293.26946926906,95497.81778980528,294216.8837348777,462388.45845373493,462387.7314471737,462369.6911977825,421526.5845794927,94291.96300228586,95496.88795524019,108647.68143391647,112988.82308933714,113707.13502018862,116480.80873697292,253092.270252013
AC,generators,onwind,184922.85225616378,299388.66812017385,869810.8728533122,938655.4282275046,936546.1469537631,932469.4343877716,768025.7971699755,184923.0312627056,184955.6498965837,226844.28365714385,271857.9958608606,367197.82519092393,459842.8754690728,904439.2992559355,207703.5658179816,361528.0453896931,895920.7476916994,958032.0259710045,955788.8720798432,951690.6755199159,795385.0533709846,207703.52509499306,283590.6305294299,318552.81170263496,376668.0155885854,452653.16150203353,500931.29295344243,908812.1639880126,207886.157428434,362050.67530626623,896142.6431139664,958278.526185084,956029.5106475699,951926.6672403867,795350.8472648055,207888.217581681,287113.31030133076,324605.1404464551,377292.32119532366,447869.1722480788,496293.49416395463,906946.6513261625,208153.28073283387,362237.1225701456,896036.7781269758,958352.1915149229,956109.0609306957,952005.4710954927,795504.1224466589,208152.75326532478,289006.2256777005,328788.14664408047,379687.67943688185,443856.9252597833,492512.0909042569,907570.2829851074,242481.42211687868,363561.09062126046,896246.3151164559,957844.9484132975,955648.6396620581,951563.4024143337,789352.0770660271,242472.03032255566,297454.65333350317,334410.06057255523,384221.4096133725,447162.96544269845,495394.51068359794,907235.5663626972,300493.06053473946,359467.6661313162,896869.4445016035,958893.7575766772,956786.6209074733,952702.9234730208,748383.8980805636,300497.3327357944,334957.87464787543,348980.92048813496,384426.1693165738,429579.08862665895,478419.4631654373,899505.2852346245,353973.8125847669,367824.31254626665,896916.758215808,960426.7500523322,958296.6458125665,954202.6199249985,724193.3160373187,353973.80391714146,367823.32734089566,374922.3837410155,406408.8870296741,444838.770759998,489635.51816215925,898601.7559355542
AC,generators,ror,33537.06808791513,33537.07028292956,33536.993508748055,33536.999024856865,33537.001178984465,33537.07236148377,33537.07482158237,33537.074293604186,33537.073322341465,33537.05363134887,33537.08277449574,33536.99517672148,33536.995042872564,33536.99658955519,33537.08303840949,33536.99625583362,33536.989309033954,33536.999712424884,33537.001102159484,33537.072343212,33537.09335429829,33537.07203826187,33537.083618086144,33537.079940828626,33537.08622288159,33536.99476318218,33536.99734587133,33536.99267899398,33537.083669651394,33536.957343857415,33536.99902039838,33536.998820523964,33537.0012199926,33537.07007798021,33537.09308553346,33537.08088106215,33537.081216533516,33537.07789517202,33537.084730676084,33536.98952589637,33536.998822929425,33536.99652245173,33537.07678328007,33536.99260444305,33536.9967374297,33536.99895263219,33536.99993523725,33537.06193260228,33537.094015441966,33537.0707518164,33537.08092353339,33537.08110041904,33537.08718051976,33536.99228239516,33536.9957304599,33536.99367638008,33537.07762777336,33536.990290815425,33537.00011802026,33536.99540870051,33537.001449661846,33537.06695896411,33537.093288108845,33537.08543198932,33537.07923667873,33537.086560679934,33537.08866113112,33536.99107006458,33536.99820013618,33536.9970190899,33537.08214386542,33536.8175837454,33536.993243558056,33536.998445978425,33537.001216666824,33537.06680886567,33537.09172382584,33537.081486772455,33537.07320798165,33537.07079162008,33537.0900953358,33536.99654766389,33536.9984811186,33536.99678599381,33537.077102109426,33536.995106868504,33536.99596332325,33536.99761498304,33537.00099876936,33537.05968468569,33537.09246774666,33537.080849694044,33536.99346520752,33536.985810046055,33536.99597239066,33536.999369228804,33536.99904307438,33536.9983852642
AC,generators,solar,35313.08395118314,215725.5275460497,808827.0954757353,1390590.2998636514,1417841.6311560685,1417068.3999038443,1414557.9289162848,35312.92520066333,70654.12794870874,193898.28095305193,265196.89167959424,364941.9606484777,472656.65373091295,1102164.3916320277,102660.80075681867,222832.94367371293,804335.1016124848,1374133.4298737796,1412083.6137889863,1411353.5552196682,1408532.366011884,102662.40591584865,159092.35924190754,246757.73802812767,298454.6630345613,440716.5027946704,479728.9570660366,1095674.0729600622,102593.28262336014,223022.91242197386,804186.0550750144,1374012.3926454054,1412198.205760767,1411398.8612650759,1408620.9259685155,102590.51009646957,164501.86405620954,263930.8123398409,302562.27516655176,422861.3425263575,462051.0358873973,1096568.1206585204,102430.35794842843,223068.32630389644,803893.8638468594,1373339.5967145578,1411771.520985043,1410839.9069202456,1408161.9125190084,102431.7269261981,169405.86228951943,269531.41917284735,306553.5026135965,416925.0139285153,455825.34344196407,1095928.9464499236,115764.00374782164,222647.95532561172,803528.8250574388,1373090.234108474,1412391.3541935205,1411399.1084384823,1408487.7787723679,115761.35117713385,176009.0733224055,272359.8852471693,310204.92105553666,419235.337447572,456894.3156443401,1097126.3628102713,140753.41675955866,220493.0886810555,802070.1262122085,1370039.8821093135,1411134.2831769802,1410628.7275928936,1407911.2853117995,140757.1236919637,203495.75811311926,281839.24498148484,323392.3360183793,385671.44699274126,431402.6424477466,1095222.539575918,174367.18678071955,222458.7426099358,801874.2440688793,1367323.8084330063,1408580.5832366652,1407875.3493709823,1405175.3172683131,174367.91278943664,222457.33800996863,294757.5532483479,338484.23017725337,387436.41888714925,425349.6388069314,1110669.7204258533
