cluster,,,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m
lv,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
opt,,,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c10
planning_horizon,,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
,,carrier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC,generators,offwind,15080067.327198008,14603375.013533633,13969638.709320815,13719059.973253842,11890661.099974593,5769463.404166779,,15080203.808816845,15195720.381985083,15069369.655226972,13669639.831959944,11382195.544292381,5692855.151884556,,14814264.350873923,14225708.839590749,13978781.96833805,13689257.892897634,11860371.25987985,5750055.384082838,,14814081.624488875,14605064.838075453,14505376.266416572,13557352.487991981,11535492.700641027,5755462.724721359,,14814716.97442586,14222020.71182457,13978846.831895933,13688568.331234343,11860179.027963461,5749890.6315652365,,14814661.453292813,14516038.051413244,14506333.16158422,13658095.597615216,11560242.368834175,5765952.415754,,14812319.077020658,14217041.60119751,13978863.119795725,13689213.52323912,11860274.242691308,5749824.960980074,,14811962.41819917,14378732.058230944,14496389.772956979,13662851.674818,11575869.647633946,5770410.706017355,,14570550.148513662,14283506.264353001,13979168.499752106,13693031.592915822,11859457.491598452,5749270.92484839,,14570705.803259978,14370687.52872682,14469515.756290976,13628320.946239015,11569073.248152379,5770238.819679398,,14221521.200243073,14250975.359713873,13968038.26464827,13693961.390266486,11854613.458936602,5760340.935405647,,14221564.807361873,14164588.060505278,14383934.873091528,13662642.751243781,11617783.820433132,5787446.065483702,,14101401.492119884,14387220.60080793,13982061.970031897,13695194.880668739,11848209.129968118,5758107.388061816,,14101508.49718727,14387289.844698649,14386380.70090428,13657024.321021134,11629581.545385044,5787752.507648946,
AC,generators,offwind-ac,5240.734783132905,26478724.267236013,532298777.74806994,1066196764.4065008,1087848856.1341794,1087867950.2529519,1087875307.1177456,4321.547142993513,2965.0964162856603,49496.53754473159,73099876.67906386,91154953.26874493,123227987.67261992,801697340.6851338,1110318.568778958,65277996.937289625,523412364.7974236,1070525340.2529383,1078164574.5832543,1078174753.3325064,1077085630.9703572,1112387.5017915145,16702208.383427264,40626859.996461734,79984049.00820613,114250887.84858797,121879006.2528647,802272487.0338763,544378.586818184,65066862.19793732,522997057.245765,1070225980.4257072,1078347220.6498382,1078306246.977078,1077820750.8306286,543330.556976756,17359955.078260407,46449738.794487156,61394445.567955546,128825887.06990817,133615841.8366755,802239271.584512,36603.62414789861,65141899.70427063,523136794.2239047,1070654139.8189107,1078564463.8680983,1078548073.1899724,1078586124.6299713,30030.975706367823,17360471.010640252,54166207.67886567,61786272.390409105,127869950.16727567,135567544.15758902,798714623.6264584,11919825.063066507,62762196.5967699,521250303.5803406,1069617119.0974652,1077760513.3557901,1077811507.5791311,1065939732.5148838,11917532.32756346,21156996.833342295,62634516.07695561,65031850.61723298,128497057.66202167,135171082.53196523,800409335.9089943,17361688.608755775,59339406.990132794,527135612.7211291,1072160734.59745,1075914859.0974736,1075938463.0564075,1058681860.4296695,17361766.053802855,21136641.740494356,59927991.57277426,70386777.72767656,88916379.52307351,108618809.68320335,797360307.5864801,39275993.583398744,58064027.56965169,523632770.51223207,1068597782.8392174,1072346303.0930164,1072303002.8832681,1051852880.0210755,39279299.38385724,58067928.658847526,60219704.82716434,71232397.62642315,80481261.03104691,91222187.88208298,799262400.884253
AC,generators,offwind-dc,4773.117178675073,418325614.64147365,1495740644.2242978,2263967642.2030807,2264261038.388701,2264316272.9678693,2264478376.1687284,3978.473353126806,2453.294318948103,205480290.74343508,425419866.01748073,498157169.20206606,542565935.3354826,1183782320.0932312,1620361.9834364767,458420790.1058948,1410556381.649285,2221757305.517922,2221988856.136066,2221747013.535784,2220554749.242078,1621550.5712502508,197918400.06757572,379777612.3380696,514832082.67845076,538928294.4819056,559077583.2185347,1197926758.0173197,1598186.2862481296,457117216.0684009,1410550933.0238261,2220347610.784565,2220613899.8248854,2220699742.706035,2219285347.9372554,1598065.5673578505,206532788.11365145,393859649.08951014,471059969.2243824,536789273.00026137,554014356.9945514,1199704026.7906427,1578640.8134209656,456341665.72164,1409627993.2215786,2217663705.874659,2218310138.014149,2218858318.6604385,2217700207.48423,1580271.4130290088,234503279.09706736,401199241.88076293,474886447.41418844,533148863.6091853,550004695.3466824,1204264833.861582,138781944.7208602,448125455.74572915,1409015672.4219623,2218116255.4132595,2218565624.4182253,2218637654.7175403,2140228761.425532,138785368.1241706,319208114.29731274,435972721.23213583,502653986.62620676,535152204.82549125,549732659.8252796,1198939011.9191072,280373371.0455947,435640415.7859043,1398223007.7333295,2211670087.975439,2212159961.1449013,2212307457.4458737,2095075662.4465172,280376389.0909178,390374148.99445045,476248921.27498055,509982505.47845256,526783857.6453068,538204139.0128152,1213806961.8870625,437216392.37006223,442779108.1612215,1400223150.1604097,2215222378.1557274,2216813664.2822585,2216985955.008872,2039157857.2229087,437212602.0051501,442775665.9065589,507378481.7161197,528379480.01639336,532646687.992173,545631418.7382697,1201827130.394219
AC,generators,onwind,584816491.5201064,861127143.6431123,2361369737.190565,2548615567.620731,2564155416.280765,2551672506.5426984,2032310523.0457478,584818244.4712698,585078022.0955681,697815412.9401622,819703716.1769481,1093495065.840511,1359463811.828519,2513493972.131439,649884306.4794809,1011012281.1426678,2416265198.3963575,2586004829.555364,2601439472.1870403,2587396667.56948,2102838815.9544342,649881401.8127415,845049251.8541638,930355975.9642528,1096793243.4012704,1322834937.4345741,1470330044.362796,2520184173.357408,650361347.9350107,1012034239.662037,2416395460.8247485,2586947313.364482,2601927980.317277,2587587175.6076007,2102405671.8714316,650365845.5013314,851940191.0938982,946327115.7686408,1101367855.3200324,1310079266.199791,1456110726.9399247,2518726127.364675,651097935.7665324,1011949688.2978183,2416186396.4210815,2587986486.9581995,2602879489.4358187,2588073169.575436,2103191506.548704,651091356.9268816,857704218.1717578,958358301.9357524,1107512686.376951,1297322299.9275827,1444312691.5587502,2519805301.808597,743015485.7748119,1014918633.9083514,2416324056.347778,2586456514.4794793,2601589903.3237715,2587129077.6158595,2096643234.9998298,742992467.6762491,879454362.3415977,970241794.5302624,1117534406.0090663,1306919577.5964255,1451846738.005685,2522560832.729465,872244058.2559994,1008103101.765597,2417120961.211739,2587861325.4259653,2603701719.1121116,2589492094.7385674,2017169705.3227887,872243693.462206,957024222.1246891,999111707.7178091,1110290632.5866122,1251878395.672298,1401346231.723177,2506699150.513321,982070884.7356327,1026139489.3851651,2419350455.9434032,2590922910.306537,2606179555.2624097,2591399756.8123336,1974649263.109227,982073269.3578554,1026141588.23343,1050958489.2470678,1152044864.1409888,1280263046.6199787,1421289321.7505493,2505321422.1056075
AC,generators,ror,140199186.2993772,140172152.50778916,140093431.2694687,140117495.3659566,140138946.9997351,140176893.9386943,140193300.6465241,140199241.24102628,140199225.27737087,140198397.61214063,140164336.36260697,140137211.1501433,140127309.47643855,140113232.30283433,140199078.01534575,140101631.35887742,140087592.8249931,140119002.86961246,140143934.90998524,140179635.51087317,140197798.28663155,140198983.00277635,140197226.8704254,140192562.05919045,140136157.6329882,140109988.04504678,140133168.1240404,140124893.97069326,140199112.13095468,140091413.62654185,140088864.73589897,140119109.41763738,140144142.7541125,140179226.31459934,140197927.75440383,140199083.90544143,140197129.5552547,140160961.85199985,140125121.87036583,140107385.11255097,140133355.06648803,140124401.5558545,140198988.1798488,140099978.8095547,140085416.80688834,140117891.46543336,140144428.54591238,140179836.97688138,140198376.1260472,140198995.49584565,140196424.2366975,140141767.47530383,140105420.6994599,140116282.88958895,140133379.40579697,140124757.15004274,140198198.989804,140098896.38724715,140089699.4074661,140122688.2470408,140144145.77389434,140180831.28134978,140199371.60024476,140198489.65483057,140196568.66660503,140128954.99428692,140104660.55761692,140109088.8210276,140134003.37093094,140129028.43526652,140193424.32889092,140081939.30896533,140090063.6698597,140126571.74751943,140146377.74087307,140180596.53946224,140196257.0230979,140194267.20129508,140195574.22074577,140120850.98132047,140124330.8532904,140118880.2288001,140138330.5618804,140126629.6601398,140131569.7715434,140103471.95253387,140083284.0143816,140125632.14667264,140144248.07849342,140177770.20468718,140184278.68993813,140131163.72711098,140103447.16757235,140113420.53383186,140121715.37687835,140118532.08363172,140141755.9457639,140126291.5329807
AC,generators,solar,72243284.2624418,399718270.474141,1402920226.3646262,2466990167.8365893,2525615750.864609,2528039695.426473,2527661116.295984,72243437.34673502,144667596.5708114,378641930.5927845,485805919.57449085,627806326.0391705,809840904.3250688,1978915820.047879,205504514.15042633,407449270.9643847,1384527999.8500972,2427997434.782306,2507266738.6973786,2509474124.3524666,2508582111.6052504,205507713.7214033,313087869.80907196,452710347.7627208,530999379.7563631,752354557.0156965,819423667.6031227,1966696331.9622931,205448868.63409907,407764695.3915382,1384114873.26285,2427637412.285909,2507312806.5043006,2509494734.661825,2508639044.6249437,205444927.31725353,322639291.74816984,480882241.8909497,541640169.6859999,722901944.3935286,788861293.1506577,1967991295.1484528,205198103.86451834,407856578.6033205,1383782155.5487924,2426673694.852787,2506717993.9674726,2508874207.310554,2507980196.7664332,205202777.98587537,331860972.4496775,490553996.4889398,548349857.7627859,713693568.9454273,777158674.1174505,1967980626.1467297,231845039.10231858,407420912.2585928,1383194035.7997494,2426229818.016407,2508309228.3160286,2510493064.443401,2509251998.9728527,231842213.095474,343722873.15492296,494516206.5534431,553288484.2322779,716719293.0815585,779942371.5028832,1968874824.6905138,275425533.5974573,405856890.2071867,1382604672.952325,2422775804.266962,2507803148.8325324,2509906496.759396,2508222416.883199,275423612.33710253,382966594.0879992,503511536.01165193,564786645.4092652,661631083.0682901,737629122.4981183,1965849406.3111715,325438188.21036565,403745400.4709385,1382263130.72185,2419117762.899948,2503333926.285712,2505280998.713121,2502836039.359963,325437821.67674685,403744650.8096693,513739130.6063253,578511863.8523779,659694773.2732619,725899694.8067782,1989286099.0366368
